OBJECTID,CSA2010,tpop10,male10,female10,paa17,pwhite17,pasi17,p2more17,ppac17,phisp17,racdiv17,age5_17,age18_17,age24_17,age64_17,age65_17,hhs10,femhhs17,fam17,hhsize10,mhhi17,hh25inc17,hh40inc17,hh60inc17,hh75inc17,hhm7517,hhpov17,hhchpov17,Shape__Are,Shape__Len,temp_mea_2,temp_med_2,temp_min_2,temp_max_2
"1",Allendale/Irvington/S. Hilton,"16726","7657","9069",90.284586870740100,6.534736338634460,0.113595599665191,1.004424249671170,0.000000000000000,2.062656941289010,20.115273856950800,6.612459643668540,17.374148033002498,9.003945952409421,53.288293674518698,13.721152696400800,"6098",71.129707112970706,35.198821796759901,2.640000000000000,39495.628472222197161,32.989690721649403,17.722140402552700,19.914907543773499,11.945671739486100,17.427589592537998,20.695061405800800,32.770529547198699,63770461.779602102935314,38770.165571239296696,25.3670703636284,25.416651725769,23.6720905303955,26.3606796264648
"2",Beechfield/Ten Hills/West Hills,"13391","5985","7406",75.319244268538498,18.855948024792699,0.418191322530057,3.308192069300270,0.313643491897543,1.784780822940780,41.017611899805303,7.930699723695010,14.576954671047700,9.708012844447760,55.365544022104302,12.418788738705100,"5076",55.187319884726200,26.144283292522100,2.400000000000000,57572.502747252699919,20.418157845168501,13.900922961009600,18.176681107553200,10.868336786588801,36.635901299679702,10.474907376220900,23.916751961787700,47882527.711059600114822,37524.950533417097176,24.5333167284941,24.5371084213257,23.1971893310547,25.9593658447266
"3",Belair-Edison,"17380","7297","10083",85.650172612197906,10.028768699654700,0.569620253164557,1.697353279631760,0.811277330264672,1.242807825086300,27.255997878761001,5.420023014959720,22.807825086306099,8.406214039125430,54.453394706559202,8.912543153049480,"6174",77.529057253551400,38.270181219110299,2.900000000000000,39624.482084690498596,34.102141680395299,16.276771004942301,20.065897858319602,8.105436573311360,21.449752883031302,20.274577102230900,34.555624611559900,44950030.471679702401161,31307.314843459698750,25.8372083937789,25.9275302886963,23.9683475494385,27.0233097076416
"4",Brooklyn/Curtis Bay/Hawkins Point,"12900","5746","7154",37.961240310077500,39.682170542635603,2.527131782945730,3.612403100775190,1.310077519379840,14.906976744186000,73.926734279308803,10.906976744186000,16.093023255813900,8.248062015503869,57.449612403100701,7.302325581395340,"5204",43.393602225312897,32.321870083164697,2.610000000000000,40275.275330396398203,31.400314677455601,18.318723308608600,18.521015958642302,9.080692290402331,22.679253764890898,24.213606437454199,46.409959467284303,176077742.748717993497849,150987.703638772014529,25.9284048431824,25.925633430481,23.9101505279541,27.6591033935547
"5",Canton,"8326","4094","4232",3.939466730723030,85.575306269517100,4.383857794859470,2.450156137400910,0.564496757146288,3.086716310353110,26.305423549180301,5.248618784530380,3.122748018256060,5.849147249579630,75.246216670670094,10.533269276963701,"4310",10.550458715596299,11.029597773842600,1.860000000000000,111891.251824816994485,7.412092081963060,7.816847963571970,9.182899064002020,6.425499620541360,69.162661269921500,3.661784287616510,4.017216642754660,15408538.224731400609016,23338.611947647699708,26.5528684598761,26.4766845703125,25.7346458435059,27.4006690979004
"6",Cedonia/Frankford,"23552","10480","13072",80.566406250000000,11.714504076086900,3.549592391304340,0.777004076086956,0.067934782608696,3.324558423913040,35.917187932509897,6.237262228260860,15.489130434782600,8.958899456521729,59.311311141304301,10.003396739130400,"9348",43.715444157758903,29.553376906318000,2.540000000000000,41625.591687041502155,26.220043572984700,22.331154684095800,17.450980392156801,8.867102396514159,25.130718954248302,12.182140745121201,19.963811821471602,71541340.306396499276161,39962.549834716497571,24.9754713392655,25.0038967132568,23.1151733398438,26.11669921875
"7",Cherry Hill,"8068","3624","4444",87.469013386217100,4.362915220624690,0.929598413485374,1.425384234010900,0.000000000000000,5.813088745661870,30.277139801911201,8.316807139315809,27.193852255825401,9.134853743182941,45.575111551809599,9.779375309866129,"3145",75.620188195038494,38.953682105964603,2.570000000000000,24250.974452554699383,50.683105631456101,17.894035321559400,14.028657114295200,3.765411529490170,13.628790403198900,39.337016574585597,56.787963610916698,29144181.351623501628637,22305.302066682201257,25.465303555317,25.6369285583496,23.4776592254639,26.3597965240479
"8",Chinquapin Park/Belvedere,"8450","3692","4758",68.828402366863898,20.792899408284001,1.822485207100590,2.615384615384610,0.000000000000000,5.940828402366860,51.031665028244497,5.940828402366860,14.946745562130101,7.479289940828400,58.745562130177497,12.887573964496999,"3359",42.230130486358199,25.338142470694301,2.260000000000000,54249.574999999997090,23.715058611361499,14.307183648932901,17.853922452660001,8.025247971145170,36.098587315900197,10.125918153200400,23.162193698949800,21022590.130737300962210,21705.411630343998695,24.6306748959862,24.5402565002441,23.9402236938477,25.4963932037354
"9",Claremont/Armistead,"9319","4353","4966",55.714132417641302,24.144221482991700,0.193153771863933,4.088421504453260,0.611653610902457,15.248417212147199,67.282446989990305,10.741495868655401,20.431376757162699,9.099688807811990,51.260864899667297,8.466573666702431,"3419",55.770720371804799,36.759681093394001,2.410000000000000,34792.619266055000480,36.047835990888302,20.301822323462400,22.665148063781299,5.267653758542140,15.717539863325699,24.000000000000000,34.615384615384599,61243774.421142600476742,40104.415980188998219,25.4638389808835,25.4470949172974,24.1960906982422,26.8256492614746
"10",Clifton-Berea,"9091","4168","4923",93.664063359366395,2.364976350236490,0.417995820041799,1.451985480145190,0.065999340006600,2.034979650203490,14.578102538589700,5.433945660543390,18.479815201847899,8.788912110878890,52.139478605213903,15.157848421515700,"3529",63.774912075029299,26.573208722741398,2.830000000000000,32288.698795180698653,39.595015576323902,19.813084112149500,17.383177570093402,6.728971962616820,16.479750778816200,27.649527806925501,47.924528301886703,23285233.925109900534153,24022.764620784200815,26.6527098172893,26.672643661499,25.5808124542236,27.1928234100342
"11",Cross-Country/Cheswolde,"12928","5913","7015",19.933477722772199,73.406559405940598,3.372524752475240,0.123762376237623,0.502784653465346,2.660891089108910,41.639258995858597,9.815903465346530,16.615099009900899,9.568378712871279,44.840655940593997,19.159962871287100,"5341",18.399999999999999,27.654867256637100,2.440000000000000,56167.047904191596899,18.785197103781101,18.041029766693399,15.748189863234099,11.584875301689401,35.840707964601698,9.894121942314710,13.025458851391299,38222018.316467300057411,26788.301878383801522,24.2420281558015,24.1904239654541,23.6618499755859,24.9492168426514
