ZIPCODE,kidney_disease_prev,copd_prev,asthma_prev,heart_attack_prev,congestive_artery_disease_prev,angina_pectoris_prev,heart_disease_prev,diabetes_prev,temp_median_aft,median_household_income_d,poverty_%
21201,0.0156630289707152,0.149197874957473,0.114194865352909,5.36494726649394e-4,0.00977467221480726,4.44898066001937e-4,0.204195127057654,0.0812331527570595,95.90000686645514,33877,30.799122532121594
21202,0.0127521334367727,0.128248642358417,0.0999321179208689,6.90942591155935e-4,0.0106186966640807,3.15166795965865e-4,0.175547905352987,0.0685608999224205,97.10995864868168,44656,29.288528112689505
21205,0.0147334872854461,0.154708368782833,0.126497319342597,6.75228564869208e-4,0.0138421855798188,4.59155424111062e-4,0.172331834325919,0.0683061216221691,95.74159774780273,28675,37.13189973976168
21206,0.0163976794325083,0.136622390891841,0.112518958329083,6.32511068943707e-4,0.0111199526636877,3.53662103065298e-4,0.197833139499296,0.0820428067168595,94.12236747741704,50975,14.026050917702781
21207,0.0174669995268165,0.100926787083721,0.0792582439995431,4.48708535252174e-4,0.0115522051984923,3.91600176220079e-4,0.184337624618598,0.0754809339664203,93.49630813598631,59013,13.014027972320363
21209,0.0126428136528061,0.0642885283478385,0.0476343970488163,4.29784033523155e-4,0.0102790014684288,5.73045378030873e-4,0.183374520969879,0.0556570323412485,93.10016174316404,78900,7.645471780662097
21210,0.0123595505617978,0.067752808988764,0.0467415730337079,0.00168539325842697,0.0098876404494382,0.00123595505617978,0.21247191011236,0.0466292134831461,93.20989456176764,93203,8.354997758852532
21211,0.0146248622658519,0.123676917426291,0.0725232895923069,8.68142508931851e-4,0.014891983037831,4.00681157968547e-4,0.218538181575345,0.0805703028481752,94.77475280761712,63733,10.838420331381588
21212,0.0190417776043046,0.125904345038125,0.101272704462133,9.06087514114056e-4,0.013033720395333,4.32134045192857e-4,0.222200538076585,0.0860922536487447,93.50357627868657,73244,13.3015494636472
21213,0.0179405476803246,0.15825129022155,0.132011111565015,7.08089927420782e-4,0.0122009341340196,3.26810735732669e-4,0.203085638029876,0.0853861132671542,95.43202018737799,34917,28.151712784144873
21214,0.0198866040450199,0.124037403740374,0.0954345434543454,8.46238470000846e-4,0.0125243293560125,5.07743082000508e-4,0.221926038757722,0.0878818651095879,93.76628341674812,65792,12.06930114853027
21215,0.0130368484437749,0.101254229992536,0.0762612132007821,3.70911388811298e-4,0.0095109006735934,3.93807153552736e-4,0.166900966659187,0.0677943593993983,94.62790679931645,36500,25.59840653868608
21216,0.0173590751478562,0.148044389428193,0.123091623775707,5.4292353464938e-4,0.0115823687391868,3.3299310125162e-4,0.19419288987339,0.078825258250628,93.98787078857414,37314,26.17729478504545
21217,0.0140900517653695,0.151576757877914,0.125976109194963,4.52432854851314e-4,0.0099476470553672,2.99663319446974e-4,0.19105005552585,0.0723187477598698,95.76754608154297,28116,36.66991507726577
21218,0.018382798828768,0.146998862264728,0.116568775230868,5.25552841161761e-4,0.0136759244820994,4.27372640065607e-4,0.227616357976564,0.0905394713284936,95.23146133422861,43352,24.547429398986242
21222,0.0146576571569227,0.119794189342629,0.0776633502989495,6.82859434179497e-4,0.0132998785145425,4.84353784708713e-4,0.199799906305333,0.0824274858862483,95.05787048339846,50644,14.372016158648549
21223,0.0154148327250805,0.181140490189088,0.148541165641388,4.34311939688981e-4,0.0129645355131039,2.85219781288286e-4,0.21228778675932,0.0838935093052954,95.44959487915034,26899,38.48148620499086
21224,0.0105882566607944,0.118205263253483,0.0877572147254863,3.81395179891393e-4,0.00965293038629883,3.26910154192623e-4,0.148308239952053,0.0621674143222971,95.27554397583015,65501,17.651847586521853
21225,0.010985807238176,0.146552523820252,0.112574707464783,7.81860828772478e-4,0.0101509388955884,2.18655994487219e-4,0.178224513324764,0.0770000397556354,94.46009750366215,41904,24.852323244625786
21226,0.01069873130089,0.135817080098466,0.0917913274001136,0.00132550653285363,0.0116928612005302,6.15413747396326e-4,0.190920280249953,0.0844063624313577,95.06192169189453,73438,15.406525116519937
21227,0.0141066589237321,0.124153116531165,0.0923223964382501,5.2022841656988e-4,0.0114087301587302,2.4196670538134e-4,0.179079558652729,0.0710898180410375,94.19586944580087,64692,16.485253332538097
21229,0.0197891451531647,0.150995908236364,0.123938660408193,4.11633879311404e-4,0.0135347677033287,4.11633879311404e-4,0.214577983116867,0.0888391924603418,93.86475524902346,47422,18.574373212182397
21230,0.0120471848071614,0.138207981259935,0.10492285260126,8.48561628282201e-4,0.0105532382784955,3.82450311338457e-4,0.176202029376965,0.071064048475577,95.26861228942869,73762,14.706222530650011
21231,0.0103337125521426,0.148535267349261,0.121444823663254,8.76943496397421e-4,0.00969378081152825,3.31816458096322e-4,0.160385855138415,0.0618600682593857,95.91853256225582,69979,19.805194805194805
21237,0.017220214734003,0.111118795276544,0.0784591711474956,0.00124483480004841,0.0123791905115925,3.45787444457892e-4,0.209028510174796,0.0829025398087795,94.13182601928716,64758,7.8988782856186175
21239,0.0201768902819942,0.132700590730248,0.107526056793398,9.09658823142597e-4,0.0130530561248534,4.60309283999868e-4,0.23361792137479,0.0995583222822573,93.83539428710944,52811,11.91944371556022
