ZIPCODE,medicaid_kidney_disease_prev,medicaid_copd_prev,medicaid_asthma_prev,medicaid_heart_attack_prev,medicaid_congestive_artery_disease_prev,medicaid_angina_pectoris_prev,medicaid_heart_disease_prev,medicaid_diabetes_prev,temp_median_aft,median_household_income_d,poverty_%
21201,0.00694585276820118,0.162340296085987,0.131895153112959,4.30947069559927e-4,0.00575441087000608,2.2814844859055e-4,0.169083350233218,0.06271547353478,95.90000686645514,33877,30.799122532121594
21202,0.00541328796482468,0.137298658830288,0.111182306281624,3.31425793764776e-4,0.00565633354691884,1.10475264588259e-4,0.143750414282242,0.0579774188559182,97.10995864868168,44656,29.288528112689505
21205,0.00690316843730987,0.169092525857631,0.148172415406936,4.68011419478635e-4,0.00971123695418168,4.68011419478635e-4,0.129217952918051,0.0457247156830627,95.74159774780273,28675,37.13189973976168
21206,0.0044128843793216,0.156346628960331,0.140590767127119,1.86459903351617e-4,0.0043973460540423,1.55383252793014e-4,0.114890377115155,0.0479512718119241,94.12236747741704,50975,14.026050917702781
21207,0.00368512002664946,0.117403343673877,0.10464075284712,1.45739210093481e-4,0.00347692115508734,1.45739210093481e-4,0.101372030563594,0.0417646936353605,93.49630813598631,59013,13.014027972320363
21209,0.00350597609561753,0.0776095617529881,0.0650199203187251,0,0.00350597609561753,1.59362549800797e-4,0.0975298804780877,0.0285258964143426,93.10016174316404,78900,7.645471780662097
21210,0.00404448938321537,0.0920121334681496,0.0788675429726997,0,0.00303336703741153,0,0.136501516683519,0.0303336703741153,93.20989456176764,93203,8.354997758852532
21211,0.00455913194127838,0.141150724901979,0.0945563964621136,3.6473055530227e-4,0.00501504513540622,9.11826388255676e-5,0.139235889486642,0.0531594784353059,94.77475280761712,63733,10.838420331381588
21212,0.00655158069883527,0.157307265668331,0.13844980587909,3.81308929561841e-4,0.00599694952856351,1.38657792567942e-4,0.150478369384359,0.060073488630061,93.50357627868657,73244,13.3015494636472
21213,0.00546636525026502,0.173071765201732,0.155191131205538,3.95928324201438e-4,0.00756095380410488,1.40490695684381e-4,0.144552153977802,0.0579587979105202,95.43202018737799,34917,28.151712784144873
21214,0.00591421622816715,0.14509175326111,0.120329427371214,2.21092195445501e-4,0.00480875525093964,4.42184390891002e-4,0.136579703736458,0.0605239885032058,93.76628341674812,65792,12.06930114853027
21215,0.00409881672168849,0.111827219110501,0.0925479431729664,1.29826773990133e-4,0.00433065024667087,1.48373455988724e-4,0.109267776994696,0.0433992358767017,94.62790679931645,36500,25.59840653868608
21216,0.0072176697237749,0.162397568784935,0.145126716231617,1.89938676941445e-4,0.00583383079177294,1.49237531882564e-4,0.134395180984425,0.0541189558799588,93.98787078857414,37314,26.17729478504545
21217,0.00695604904467575,0.167065976766192,0.146791761460871,2.31532746783708e-4,0.00639231713946325,2.41599387948217e-4,0.151955948378264,0.0551047937345225,95.76754608154297,28116,36.66991507726577
21218,0.005706948209445,0.166179198173777,0.143505968516669,2.37789508726875e-4,0.00666999571978884,1.18894754363437e-4,0.165382603319542,0.0622057354829505,95.23146133422861,43352,24.547429398986242
21222,0.00529853400984816,0.125030424444403,0.0974143902941342,2.62118290239838e-4,0.0055044840950366,2.24672820205576e-4,0.124880642564266,0.0499335342906892,95.05787048339846,50644,14.372016158648549
21223,0.0067263608773327,0.193062700445554,0.169622678060225,3.44389676919434e-4,0.00831916313308509,1.8295701586345e-4,0.174444133537097,0.0653802277276739,95.44959487915034,26899,38.48148620499086
21224,0.00388447569289335,0.139802280187232,0.116417736516014,9.71118923223338e-5,0.00576844640394663,2.13646163109134e-4,0.104822576572727,0.0438363081943015,95.27554397583015,65501,17.651847586521853
21225,0.0044288133385437,0.153599298968584,0.129986855660947,2.60518431679041e-4,0.0050564259239523,1.18417468945019e-4,0.124740961786683,0.0537141639134605,94.46009750366215,41904,24.852323244625786
21226,0.00556905629809639,0.141656541109761,0.107735925475901,8.10044552450385e-4,0.00455650060753341,3.03766707168894e-4,0.130417172944512,0.0607533414337789,95.06192169189453,73438,15.406525116519937
21227,0.00308324768756423,0.129875047330557,0.112754908854871,2.97506355817602e-4,0.00348893817277005,0,0.0893871369070157,0.0393519770649646,94.19586944580087,64692,16.485253332538097
21229,0.00587723391643229,0.164802179369143,0.148356014075092,1.76569259291957e-4,0.0055871558475955,2.01793439190808e-4,0.133877334813152,0.0555058078674217,93.86475524902346,47422,18.574373212182397
21230,0.00446858412541661,0.162054067399087,0.136081965189483,3.20948031107271e-4,0.007208986544871,1.48129860511048e-4,0.127934822861375,0.0510060486359709,95.26861228942869,73762,14.706222530650011
21231,0.00455301637334734,0.175597583399002,0.15116889939585,9.19359075387444e-4,0.0060415024954032,3.50232028719026e-4,0.132606601873741,0.0467997548375799,95.91853256225582,69979,19.805194805194805
21237,0.0066134993191986,0.127261233223108,0.104843415677884,5.34915386111651e-4,0.00447383777475199,0,0.113791091227388,0.049358101536666,94.13182601928716,64758,7.8988782856186175
21239,0.00524533747779751,0.153030639431616,0.137683170515098,2.49777975133215e-4,0.00377442273534636,1.6651865008881e-4,0.131161190053286,0.0545626110124334,93.83539428710944,52811,11.91944371556022
