name,holc_id,holc_grade,area_descr,15_count,15_sum,15_mean
,B5,B,"{ ""1"" : ""Baltimore, MD B 5"", ""10a"" : ""Good"", ""10b"" : ""$50 row"", ""10c"" : ""Good"", ""11a"" : ""none"", ""11b"" : """", ""12a"" : ""yes"", ""12b"" : """", ""13"" : ""static"", ""14"" : ""Ground rents 90-120. Principally 90."", ""15"" : ""Louis Kroner, property review appraiser H.O.L.C",16755001.000000000000000,5930678.000000000000000,0.353964646137592
,B6,B,"{ ""1"" : ""Baltimore, MD B 6"", ""10a"" : ""Good"", ""10b"" : ""Everything"", ""10c"" : ""Fair"", ""11a"" : ""2 story row"", ""11b"" : ""10-12"", ""12a"" : ""yes"", ""12b"" : ""yes"", ""13"" : ""Static to upward"", ""14"" : ""Three story houses on Reisterstown Road are 25 years old. Ground r",7844785.000000000000000,1369615.000000000000000,0.174589233484410
,B7,B,"{ ""1"" : ""Baltimore, MD B 7"", ""10a"" : ""Good"", ""10b"" : ""All houses"", ""10c"" : ""fair"", ""11a"" : """", ""11b"" : ""Nominal"", ""12a"" : ""yes"", ""12b"" : ""yes"", ""13"" : ""Static"", ""14"" : ""Ground rents 60-90. Predominating 84. Fair valuation."", ""15"" : ""Louis Kroner, propert",4238788.000000000000000,1051465.000000000000000,0.248057935428712
,B8,B,"{ ""1"" : ""Baltimore, MD B 8"", ""10a"" : ""Good"", ""10b"" : ""Everything"", ""10c"" : ""Good"", ""11a"" : """", ""11b"" : """", ""12a"" : ""yes"", ""12b"" : ""yes"", ""13"" : ""Static to upward"", ""14"" : ""Ground rents $72-100. Ground rents in Cedarcroft are principally 120."", ""15"" : ""Lo",42248183.000000000000000,17212298.000000000000000,0.407409189644913
,C,C,"{ """" : """" }",2616243.000000000000000,716493.000000000000000,0.273863322329004
,C1,C,"{ ""1"" : ""Baltimore C 1"", ""10a"" : ""Good"", ""10b"" : ""25-30"", ""10c"" : ""Good"", ""11a"" : ""None"", ""11b"" : ""None"", ""12a"" : ""yes"", ""12b"" : ""yes"", ""13"" : ""Static to downward"", ""14"" : ""The entire area is populated principally by persons of Polish extraction who have",16220464.000000000000000,1078352.000000000000000,0.066480958867761
,C11,C,"{ ""1"" : ""Baltimore C 11"", ""10a"" : ""Good"", ""10b"" : """", ""10c"" : ""Good"", ""11a"" : """", ""11b"" : """", ""12a"" : ""limited"", ""12b"" : """", ""13"" : ""Static"", ""14"" : ""Ground rents range $43-72. average 60. Very spotty."", ""15"" : ""Louis Kroner, property review appraiser H.",22741452.000000000000000,5680735.000000000000000,0.249796494964350
,C12,C,"{ ""1"" : ""Baltimore C 12"", ""10a"" : ""Good"", ""10b"" : ""anything"", ""10c"" : ""Good"", ""11a"" : """", ""11b"" : """", ""12a"" : ""yes"", ""12b"" : ""yes"", ""13"" : ""Static"", ""14"" : ""Ground rents $30-75- Predominating $60."", ""15"" : ""Louis Kroner, property review appraiser H.O.L.C",14573455.000000000000000,2665785.000000000000000,0.182920590896256
,C13,C,"{ ""1"" : ""Baltimore C 13"", ""10a"" : ""Good"", ""10b"" : ""2 story row $30-35"", ""10c"" : ""fair"", ""11a"" : ""None"", ""11b"" : """", ""12a"" : ""limited"", ""12b"" : ""no"", ""13"" : ""Static to downward"", ""14"" : ""Ground rents range $42 to 90. Predominating $60-72 Not a very desira",22969640.000000000000000,6449002.000000000000000,0.280761997140573
,C14,C,"{ ""1"" : ""Baltimore C 14"", ""10a"" : ""Good"", ""10b"" : ""Everything"", ""10c"" : ""fair"", ""11a"" : ""Cottages"", ""11b"" : """", ""12a"" : ""yes"", ""12b"" : ""yes"", ""13"" : ""static to upward"", ""14"" : ""Ground rents range $72-96. Predominating $90."", ""15"" : ""Louis Kroner, propert",31832965.000000000000000,9790659.000000000000000,0.307563527305735
,C2,C,"{ ""1"" : ""Baltimore C 2"", ""10a"" : ""Good"", ""10b"" : ""anything"", ""10c"" : ""Good"", ""11a"" : ""Bungalows"", ""11b"" : ""Nominal"", ""12a"" : ""yes"", ""12b"" : ""yes"", ""13"" : ""Static to downward"", ""14"" : ""Demand is expected to increase because of expansion at Sparrows Point.",20637475.000000000000000,2269943.000000000000000,0.109991314344415
,C20,C,"{ ""1"" : ""Sub. Baltimore-Baltimore Highlands C 20"", ""10a"" : """", ""10b"" : """", ""10c"" : """", ""11a"" : """", ""11b"" : """", ""12a"" : """", ""12b"" : """", ""13"" : """", ""14"" : ""Principally fee property"", ""15"" : ""  "", ""2"" : ""Similar in general character to Landsdowne (C-19)"", """,335062.000000000000000,86380.000000000000000,0.257803033468433
,C3,C,"{ ""1"" : ""Baltimore C 3"", ""10a"" : ""Good"", ""10b"" : ""Rows $25"", ""10c"" : ""fair"", ""11a"" : ""None"", ""11b"" : ""None"", ""12a"" : ""yes"", ""12b"" : ""N/A"", ""13"" : ""Static"", ""14"" : ""Ground rents range from$48-$75 and average $60."", ""15"" : ""Louis Kroner, property review ap",26324323.000000000000000,2469593.000000000000000,0.093814112522476
,C4,C,"{ ""1"" : ""Baltimore C 4"", ""10a"" : ""fair"", ""10b"" : ""2 story row/$60"", ""10c"" : ""fair"", ""11a"" : ""None"", ""11b"" : ""None"", ""12a"" : ""yes"", ""12b"" : """", ""13"" : ""Static"", ""14"" : ""Ground rents range from$75 to 150 and average $90-110. Some of these properties are be",13064117.000000000000000,1962011.000000000000000,0.150183207942795
,C5,C,"{ ""1"" : ""Baltimore C 5"", ""10a"" : ""Good"", ""10b"" : ""anything"", ""10c"" : ""fair"", ""11a"" : ""None"", ""11b"" : ""None"", ""12a"" : ""yes"", ""12b"" : ""None"", ""13"" : ""Static"", ""14"" : ""Houses are being converted into apartment units. Many rooms in the area are rented and so",14877684.000000000000000,3024082.000000000000000,0.203262954099576
,C6,C,"{ ""1"" : ""Baltimore C 6"", ""10a"" : ""Good"", ""10b"" : ""2 story row $25-35"", ""10c"" : ""Good"", ""11a"" : ""No"", ""11b"" : ""None"", ""12a"" : ""yes"", ""12b"" : """", ""13"" : ""Downward"", ""14"" : ""Ground rent $50-75, average $60. No immediate danger of negro encroachment, but the",45321814.000000000000000,9001208.000000000000000,0.198606525325752
,C7,C,"{ ""1"" : ""Baltimore C 7"", ""10a"" : ""Good"", ""10b"" : ""30-35"", ""10c"" : ""Fair"", ""11a"" : ""None"", ""11b"" : """", ""12a"" : ""conservative"", ""12b"" : """", ""13"" : ""Downward"", ""14"" : ""Ground rents range from $50-75 and average $60. There is considerable business on main th",20513124.000000000000000,3125136.000000000000000,0.152348126009476
,C8,C,"{ ""1"" : ""Baltimore C 8"", ""10a"" : ""Fairly good"", ""10b"" : ""40"", ""10c"" : ""Fair"", ""11a"" : ""Row"", ""11b"" : ""100-5,000"", ""12a"" : ""yes"", ""12b"" : ""yes"", ""13"" : ""Static"", ""14"" : ""Ground rent range 60-90. average 90. this section has a concentration of medium incom",40367927.000000000000000,11240222.000000000000000,0.278444369957367
,C9,C,"{ ""1"" : ""Baltimore C 9"", ""10a"" : ""Good"", ""10b"" : """", ""10c"" : ""Good"", ""11a"" : ""no"", ""11b"" : """", ""12a"" : ""yes"", ""12b"" : """", ""13"" : ""Downward as residential, upward for commerce"", ""14"" : ""Ground rents 72-120. average 90."", ""15"" : ""Louis Kroner, property rev",13557339.000000000000000,3099785.000000000000000,0.228642582441879
,D,D,"{ """" : """" }",3162058.000000000000000,18512.000000000000000,0.005854415067655
,D1,D,"{ ""1"" : ""Baltimore D 1"", ""10a"" : ""poor"", ""10b"" : """", ""10c"" : ""fair"", ""11a"" : ""none"", ""11b"" : ""none"", ""12a"" : ""no"", ""12b"" : ""no"", ""13"" : ""Downward"", ""14"" : ""Ground rents in this section range from $36 to 60. Average $42. Properties around Johns Hopkins Ho",51539630.000000000000000,5771020.000000000000000,0.111972476325499
,D2,D,"{ ""1"" : ""Baltimore D 2"", ""10a"" : ""poor"", ""10b"" : """", ""10c"" : ""poor"", ""11a"" : ""none"", ""11b"" : ""none"", ""12a"" : ""no"", ""12b"" : ""no"", ""13"" : ""Downward"", ""14"" : ""Area becomes worse south of eastern avenue. Ground rents range $36-60. Predominately $36-48. Mixtu",25460848.000000000000000,1618721.000000000000000,0.063576869081501
,D4,D,"{ ""1"" : ""Baltimore, Maryland D 4"", ""10a"" : ""poor"", ""10b"" : """", ""10c"" : ""poor"", ""11a"" : ""none"", ""11b"" : ""none"", ""12a"" : ""limited"", ""12b"" : """", ""13"" : ""Downward"", ""14"" : ""Ground rents range from $42-120. Predominating 60-75. considerable vandalism in this",62045073.000000000000000,10308752.000000000000000,0.166149405610338
,D5,D,"{ ""1"" : ""Baltimore D 5"", ""10a"" : ""poor"", ""10b"" : """", ""10c"" : ""poor"", ""11a"" : ""none"", ""11b"" : ""none"", ""12a"" : ""no"", ""12b"" : ""no"", ""13"" : ""Downward"", ""14"" : ""Ground rents in this section range from $30-60 and average $40-42."", ""15"" : ""Louis Kroner, propert",35587071.000000000000000,3665844.000000000000000,0.103010556839589
,D6,D,"{ ""1"" : ""Baltimore D 6"", ""10a"" : ""fair"", ""10b"" : """", ""10c"" : ""poor"", ""11a"" : ""none"", ""11b"" : """", ""12a"" : ""No"", ""12b"" : ""No"", ""13"" : ""Downward"", ""14"" : ""Ground rents range $30-60. Predominating $43-48. Vandalism in this section."", ""15"" : ""Louis Kroner, pr",6407380.000000000000000,1087854.000000000000000,0.169781408313538
,D8,D,"{ ""1"" : ""Baltimore D 8"", ""10a"" : ""none"", ""10b"" : """", ""10c"" : ""poor"", ""11a"" : """", ""11b"" : ""None"", ""12a"" : ""no"", ""12b"" : ""None"", ""13"" : ""Downward"", ""14"" : ""Valuations down do not include homes on Monument Square. A boarding house area with some very fine o",17507428.000000000000000,1627385.000000000000000,0.092953973593380
,D9,D,"{ ""1"" : ""Baltimore D 9"", ""10a"" : ""poor"", ""10b"" : """", ""10c"" : ""poor"", ""11a"" : ""none"", ""11b"" : ""None"", ""12a"" : """", ""12b"" : """", ""13"" : ""Residential downward; commercial upward"", ""14"" : ""Most of this section comprises the commercial area of the city. Houses",18518349.000000000000000,944167.000000000000000,0.050985484721127
