ID,CSA2010,Percent of Residents - Black/African-American (Non-Hispanic),Percent of Residents - White/Caucasian (Non-Hispanic),Percent of Residents - Asian (Non-Hispanic),Percent of Residents - Two or More Races (Non-Hispanic),"Percent of Residents - All Other Races (Hawaiian/ Pacific Islander, Alaskan/ Native American Other Race) (Non-Hispanic)",Percent of Residents - Hispanic,Racial Diversity Index,Percent of Population  Under 5 years old,Percent of Population 5-17 years old,Percent of Population 18-24 years old,Percent of Population 25-64 Years old,Percent of Population 65 Years and over,Percent of Female-Headed Households with Children Under 18,Percent of Households with Children Under 18,Median Household Income,"Percent of Households Earning Less than $25,000","Percent of Households Earning $25,000 to $40,000","Percent of Households Earning $40,000 to $60,000","Percent of Households Earning $60,000 to $75,000","Percent of Households Earning More than $75,000",Percent of Family Households Living Below the Poverty Line,Percent of Children Living Below the Poverty Line,Median Price of Homes Sold,Median Number of Days on the Market,Number of Homes Sold,Percentage of Housing Units that are Owner-Occupied,Percentage of Properties Under Mortgage Foreclosure,Percentage of Residential Properties that are Vacant and Abandoned,Percentage of Residential Properties with Housing Violations (Excluding Vacants),"Percentage of Properties with Rehabilitation Permits Exceeding $5,000",Total Number of Residential Properties,Percentage of Residential Sales for Cash,Percentage of Residential Sales in Foreclosure (REO),Percentage of Residential Tax Lien Sales,"Number of Demolition Permits per 1,000 Residential Properties","Number of New Construction Permits per 1,000 Residential Properties",Percentage of Vacant Properties Owned by Baltimore City,Affordability Index - Mortgage,Affordability Index - Rent,"Number of Historic Tax Credits per 1,000 Residential Units","Number of Homestead Tax Credits per 1,000 Residential Units","Number of Homeowner's Tax Credits per 1,000 Residential Units",Percent Residential Properties that do Not Receive Mail,"Part 1 Crime Rate per 1,000 Residents","Violent Crime Rate per 1,000 Residents","Property Crime Rate per 1,000 Residents","Number of Shootings per 1,000 Residents","Number of Gun-Related Homicides per 1,000 Residents","Number of Common Assault Calls for Service per 1,000 Residents","Number of Narcotics Calls for Service per 1,000 Residents","Number of Automobile Accident Calls for Service per 1,000 Residents",Percentage of Population aged 16-19 in School and/or Employed,"Teen Pregnancy Rate per 1,000 Females (aged 15-19)",Percent of Births Delivered at Term (37-42 Weeks),Percent of Babies Born with a Satisfactory Birth Weight,Percent of Births Where the Mother Received Early Prenatal Care (First Trimester),Percent of Families Receiving TANF,"Liquor Outlet density (per 1,000 Residents)",Life Expectancy,Infant Mortality Rate,Mortality by Age (1-14 Years old),Mortality by Age (15-24 Years old),Mortality by Age (25-44 Years old),Mortality by Age (45-64 Years old),Mortality by Age (65-84 Years old),Mortality by Age (85 and over),"Number of Persons with Library Cards per 1,000 Residents","Number of Event Permits Requested per 1,000 Residents","Number of Businesses that are Arts-Related per 1,000 Residents",Total Employment in Arts-Related Businesses,Percent Population 16-64 Employed,Percent Population 16-64 Unemployed and Looking for Work,Percent Population 16-64 Not in Labor Force,Unemployment Rate,Percent Population (25 Years and over) With Less Than a High School Diploma or GED,Percent Population (25 Years and over) With High School Diploma and Some College or Associates Degree,Percent Population (25 Years and over) with a Bachelor's Degree or Above,Total Number of Commercial Properties,"Percent of Commercial Properties with Rehab Permits Above $5,000",Total Number of Businesses,Total Number of Employees,Number of Businesses with Under 50 Employees,Total Dollar Amount Invested in Small Businesses per 50 Businesses,"Number of Banks and Bank Branches per 1,000 Residents",Percent of Businesses that are 1 Year old or less,Percent of Businesses that are 2 Years old or less,Percent of Businesses that are 4 Years old or less,Percent of Households with No Internet at Home,Number of Businesses by Selected Neighborhood Industry (NAICS Sectors),"Neighborhood Businesses per 1,000 Residents (NAICS Sectors)",Total number of Employees by Selected Neighborhood Industry (NAICS Sectors),"Rate of Dirty Streets and Alleys Reports per 1,000 Residents","Rate of Clogged Storm Drain Reports per 1,000 Residents",Percent of Population that Drove Alone to Work,Percent of Population that Carpool to Work,Percent of Population that Uses Public Transportation to Get to Work,Percent of Population that Walks to Work,Percent of Employed Population with Travel Time to Work of 0-14 Minutes,Percent of Employed Population with Travel Time to Work of 15-29 Minutes,Percent of Employed Population with Travel Time to Work of 30-44 Minutes,Percent of Employed Population with Travel Time to Work of 45 Minutes and Over,Percent of Area Covered by Trees,Percent of Residences Heated by Utility Gas,Percent of Residences Heated by Electricity,Percent of Households with No Vehicles Available,Walk Score,"Number of daily bus stop loadings per 1,000 residents","Percent of Population Using Other Means to Commute to Work (Taxi, Motorcycle, Bicycle, Other)",Number of Trees of Planted,"Rate of Housing Vouchers per 1,000 Rental Units","Rate of Businesses in the Creative Economy per 1,000 Residents",Number of Employees in the Creative Economy,"Rate of Street Light Outages per 1,000 Residents"
30,Inner Harbor/Federal Hill,13.88623151,71.91846346,5.224814188,2.715431599,1.000809478,5.254249761,45.44987713,4.268158069,5.681065568,10.16263154,68.90131724,10.98682758,22.83163265,11.8464793,98763.46458,14.85343004,7.026291931,11.95225144,7.449380477,58.71864612,2.33570863,8.212927757,300000.00,33,392,59.93990986,1.101652,0.3338,0.300450676,5.441495577,5991,21.86147186,0.216450216,1.233538923,1.335336338,1.50225338,0,23.85433715,42.41311105,26.20597563,267.4011017,39.89317,2.708288014,61.68805912,16.4916375,44.4185142,0.466744457,0.155581486,63.78840918,14.08012447,112.7965772,100,10,88.51351351,94.59459459,81.76,1.978891821,2.6,81,2.4,0,3.3,6.3,54.7,305.1,1165.6,307.0400622,13.92454298,1.86697783,1070,82.08652338,1.90941795,15.3860345,2.273226444,5.959837878,23.59985262,70.44030951,473,21.77589852,721,12869,630,4273664.00,0.233372229,4.993065187,25.79750347,33.98058252,9.323058326,505,39.28432517,9426,34.85025282,6.767794632,70.40328093,5.126452495,7.644110276,14.82114377,22.07792208,43.30143541,22.49943039,12.12121212,9.886814644,48.00543971,48.2623149,14.50589302,89.684,392.765,2.005012531,2,46.62333993,4.200700117,1100,34.53908985
31,Lauraville,53.94058434,36.6232916,0.621982159,2.708895982,2.226041411,3.879204518,58.33601399,5.761518946,13.15164907,8.863245765,56.755872,15.46771422,32,25.19596865,67320.37182,14.33370661,11.26539754,17.53639418,14.06494961,42.79955207,7.488679902,16.56165617,134000.00,25,229,72.81879195,0.872483,1.6779,2.93064877,5.212527964,4470,23.50746269,2.611940299,2.749832327,0.223713647,0.223713647,0,27.89553369,39.80295567,1.342281879,305.5928412,84.11633,6.75944334,43.18422554,8.718324778,33.40666504,1.140715392,0.162959342,42.36942883,23.05874684,49.7025992,79.26565875,11.42,85.84070796,88.49557522,74.34,4.129387474,0.6,75.3,6.2,3.8,13.5,21.9,74.4,390.2,1356.8,240.3650289,0.407398354,0.325918683,34,70.00972526,8.315098468,21.5536105,10.61617259,10.85552408,57.46175637,31.68271955,130,11.53846154,182,1526,169,763736.00,0,7.692307692,18.13186813,26.92307692,16.95408735,128,10.42939787,1083,28.92528314,4.481381895,74.60854093,9.679715302,10.65836299,3.274021352,13.98576512,40.16014235,24.76868327,21.08540925,40.33598269,73.43784994,12.72116461,11.26539754,60.312,263.016,1.779359431,,204.9261084,0.651837367,46,44.89529862
32,Loch Raven,87.02097738,8.326497129,0.919957811,0.720731279,0.984413454,2.027422946,25.74266655,3.85561936,17.87179187,10.20157037,53.25208016,14.81893824,59.18261769,29.07204091,52079.98066,18.21326515,16.6040006,27.80869304,12.13716348,25.23687773,5.385029618,6.473641082,123500.00,24,201,76.78106509,0.686391,0.6154,1.798816568,3.029585799,4225,28.1938326,1.762114537,2.508282063,0,0,0,34.78441128,43.19795513,,198.816568,71.95266,2.988743693,37.68532428,10.31937822,26.71282085,2.155313174,0.130625041,43.89001372,21.7490693,61.91626935,91.56844968,20.52,87.97468354,84.81012658,63.92,3.295819936,0.1,74.4,12.1,2.3,11.1,26.2,89.6,418.1,1176.9,212.0697538,0.195937561,0.130625041,2,66.36450798,8.951451233,24.68404079,11.88519847,9.227855729,71.4470173,19.32512697,52,63.46153846,179,3397,169,247207.00,0.130625041,7.82122905,29.60893855,38.54748603,24.96616032,146,9.53562798,2866,26.05969564,2.481875776,58.39264915,11.42746215,24.60204478,3.778956904,9.395625728,39.5625728,32.70350718,18.33829429,32.22129761,69.89020905,24.42472552,23.95849,55.764,321.272,1.79888702,1,75.26270946,0.195937561,12,29.84782183
33,Madison/East End,87.89258079,1.365498407,0.136549841,0.30344409,1.365498407,8.936428463,28.79052983,9.103322713,20.02730997,12.54741314,50.14413594,8.177818237,80.84577114,38.08621506,29975.85648,44.90762672,12.97963051,19.32733302,7.200378967,15.58503079,33.74233129,56.12565445,74000.00,25,88,22.95081967,1.051655,19.4247,8.815341788,5.629446335,3233,81.86528497,0.518134715,9.076827757,2.783792144,0.309310238,10.1910828,34.14634146,58.4918957,12.99103,106.4027219,20.72379,16.15646259,118.8793214,28.65955533,89.3201388,4.626654672,0.771109112,106.6700938,215.7820332,71.97018378,90.85714286,37.97,81.81818182,84.84848485,60.61,13.60582307,1.3,68.7,10.1,3.1,15,36.2,176.2,466.4,1473.7,352.7824187,2.056290965,0.128518185,2,49.49494949,13.88888889,36.61616162,21.9123506,26.53485952,64.49011446,8.975026015,187,18.71657754,142,919,139,139437.00,0,9.154929577,20.42253521,28.87323944,30.74372335,115,14.77959131,581,207.5568693,4.883691042,42.30064161,10.81576535,34.1888176,9.715857012,17.87351054,41.97983501,20.02749771,20.11915674,6.337141048,77.21459024,16.24822359,54.00284225,88.806,171.957,2.978918423,,291.7547569,0.128518185,10,22.10512788
34,Medfield/Hampden/Woodberry/Remington,10.74268934,77.11978466,5.377462376,2.78355561,0.312002936,3.664505078,39.03893666,5.560993515,7.102655084,6.784534443,66.40768384,14.14413312,20.40160643,16.32572777,65098.54759,16.85024915,14.25386835,15.28979806,10.60844479,42.99763965,5.980484734,8.452088452,210000.00,19,474,64.33668269,0.66987,0.7281,2.111547983,8.387942333,6867,20.61657033,0.578034682,2.01048951,0.582495995,3.349351973,0,24.36069987,38.85203346,10.04805592,409.9315567,53.00714,2.760167756,47.33149298,10.86956522,36.05935128,0.230043708,0,45.54865424,39.97009432,95.92822636,92.4205379,22.06,92.51101322,92.51101322,75.33,1.356812933,1,76.6,4.5,0,9.5,13.9,101.3,390.6,1005.5,295.6061652,1.035196687,1.610305958,179,79.73872319,4.395694684,15.29866075,5.224609375,11.3313587,32.90802764,55.76061366,535,38.5046729,836,7221,763,1616495.00,0.287554635,6.459330144,27.75119617,37.32057416,14.62103331,555,31.91856453,3781,34.10397976,6.153669197,67.10300429,8.379828326,8.809012876,10.87982833,21.79184549,43.63733906,23.42274678,11.14806867,32.4854728,69.87936008,20.56123787,18.8172043,69.041,165.862,4.82832618,15,21.63253533,5.175983437,1418,23.63699103
35,Midtown,30.89949847,52.72585163,6.285416531,3.321826353,0.683905426,6.083501596,63.76612651,2.260144597,3.582361753,15.80147203,63.57715105,14.77887058,32.91925466,5.467511886,47406.39542,30.03169572,15.19130632,14.51211229,8.308806882,31.95607879,5.419489317,16.19156214,270000.00,39,203,40.77780955,0.486131,2.0303,4.260794967,5.747783815,3497,25.1572327,0,3.672883788,0.571918788,0,9.85915493,20.37533512,43.67369589,47.18329997,211.6099514,14.86989,7.312401099,80.29294274,20.83888149,58.5885486,0.732356858,0,73.63515313,20.10652463,130.0266312,100,9.62,90.09009009,92.79279279,72.97,4.604051565,1.8,76.3,9.5,0,2.3,15.3,106.3,356.6,1000,334.8868176,6.458055925,3.195739015,552,75.78035627,4.739336493,19.34956692,5.885934646,9.127182045,28.16292602,62.70989194,783,15.70881226,978,16585,874,1171677.00,0.199733688,4.90797546,27.81186094,37.93456033,16.05161875,654,43.54194407,5824,43.34221039,4.793608522,45.51866319,2.810329861,27.00737847,20.43185764,22.42838542,40.46223958,17.32855903,19.78081597,13.82938602,46.55875028,45.93615576,38.44238171,89.446,488.615,4.231770833,2,94.06215316,6.72436751,3562,37.54993342
36,Midway/Coldstream,91.80059036,4.373018476,0.634087679,1.486826282,0.295178747,1.410298459,17.17218153,6.297146605,14.6277468,8.658576582,53.46015087,16.95637914,69.71428571,29.59080149,35273.38281,38.38349679,17.75448089,20.52756172,6.087250592,17.24721001,22.60387812,49.33616569,35000.00,31,83,33.56968215,1.026895,20.4645,7.775061125,2.298288509,4090,81.09756098,0.609756098,10.81871345,7.579462103,0,8.124253286,38.28740157,57.73381295,,117.3594132,27.38386,15.76985791,76.26766417,26.08063175,48.10889443,7.273482959,1.246882793,92.16541978,125.5195345,73.98171239,83.28690808,28.04,82.0754717,82.0754717,56.6,11.95024434,1.2,67.6,13.7,8.4,26,52.9,146.4,424.7,1961.9,320.3449709,1.142975894,0.207813799,4,50.50607287,17.45951417,32.03441296,25.68875652,31.09765564,59.35413756,9.5482068,282,6.028368794,156,1225,150,529487.00,0.103906899,3.205128205,17.30769231,25,36.18532296,113,11.74147963,543,156.1720698,3.013300083,49.41468606,14.75700603,32.63568641,2.412202909,9.152181625,28.41433132,31.14579638,31.28769067,12.65134968,71.59283057,12.58031789,43.52384173,74.312,470.283,0.780418588,1,229.3165468,0.519534497,15,23.79467997
37,Morrell Park/Violetville,22.0569042,61.79848603,3.70660402,2.479770295,0.548159749,9.410075698,60.84742885,4.920386322,11.8376403,5.977551553,58.88801879,18.37640303,36.32218845,20.14696877,40950.89674,32.97611758,15.95223515,17.66687079,9.399877526,24.00489896,12.80853903,15.3540175,80000.00,33,165,63.92766497,2.252538,2.0622,3.140862944,2.315989848,3152,46.82926829,2.43902439,3.300539511,1.269035533,0,0,35.1993865,52.9455081,,204.3147208,73.92132,5.144193297,76.75145025,20.86122267,52.54350736,5.131637662,0.223114681,110.3302097,58.45604641,141.0084784,75.56818182,68.97,83.60655738,87.70491803,61.48,4.764344262,0.9,72.9,1.6,0,7.8,36.4,151.2,407.8,1024.3,74.74341812,,0.334672021,6,64.97241923,6.875492514,27.89598109,9.569509186,27.63513514,59.5777027,12.78716216,479,13.3611691,379,9269,344,1904354.00,0.11155734,7.124010554,20.58047493,30.60686016,33.46601347,243,27.10843373,6994,56.33645694,9.036144578,64.45289643,9.391456992,19.07548274,4.271503803,18.19777648,44.00234055,12.99005266,24.80983031,25.82420117,63.90079608,23.51500306,26.51561543,45.708,318.162,2.808660035,1,173.0486009,1.115573405,256,40.04908523
38,Mount Washington/Coldspring,25.42644993,64.65984347,4.796307445,0.883002208,0,4.23439695,52.33457998,10.53582179,12.72325908,3.03030303,55.18763797,18.52297813,16.86956522,24.64637805,79992.61638,15.64509216,9.344192027,10.80154308,11.23017574,52.978997,1.996370236,3.796376186,276500.00,22,82,81.80336773,1.249321,0.163,0.488864747,4.562737643,1841,21.83908046,1.149425287,0.543183053,0.543183053,0,0,30.68181818,35.6092437,1.629549158,377.5122216,33.13417,1.011089367,46.82662539,10.25541796,35.60371517,1.93498452,0.193498452,20.31733746,7.933436533,178.4055728,92.85714286,0,94.59459459,94.59459459,72.97,0,0.4,79.8,0,0,11.4,13.2,48.9,255,1883.2,217.4922601,0.580495356,0.96749226,25,80.56300268,3.585790885,15.85120643,4.261250498,4.818949088,24.82983937,70.35121154,99,25.25252525,208,2108,187,3492548.00,0.193498452,9.615384615,33.65384615,41.34615385,12.13030433,158,30.57275542,1553,14.70588235,4.256965944,80.82524272,8.292880259,6.796116505,2.184466019,16.38349515,40.65533981,25.84951456,17.11165049,66.61790901,66.60951565,30.13287613,10.15859408,32.695,172.601,1.901294498,8,16.80672269,2.515479876,94,30.57275542
39,North Baltimore/Guilford/Homeland,16.12285151,64.11947027,9.816849817,5.359256128,0.726965342,3.854606932,55.77806455,4.72245703,10.79740772,24.35615666,45.22400676,14.89997182,12.3655914,24.75873544,90704.5,15.5906822,10.64891847,8.236272879,8.186356073,57.33777038,3.482899278,4.49725777,377500.00,37,322,74.47600392,1.077375,0.4505,1.25367287,5.034280118,5105,28.33876221,0.325732899,0.940070505,0.391772772,0,0,28.24005891,56.05536332,4.30950049,388.4427032,18.02155,1.225692398,28.74484654,5.668804398,22.73247824,0.687127806,0.114521301,19.58314246,13.68529546,46.83921209,98.62241703,1.56,86.84210526,89.47368421,79.82,0.768285187,0.3,82.4,1.5,3.8,1.9,8.3,49.3,231.4,1144.9,206.252863,0.744388456,0.801649107,73,52.91447683,3.384296863,43.70122631,6.011315417,3.074327491,23.27303402,73.65263849,225,16,346,3773,310,702890.00,0.05726065,6.358381503,26.30057803,33.52601156,10.01663894,241,13.79981677,1821,10.87952359,3.836463582,66.55910824,7.817541801,12.14432385,9.709592256,18.14315048,50.99735993,15.60574949,15.2537401,50.40420587,68.50249584,23.97670549,18.68552413,58.395,232.994,3.769433852,3,43.00543747,1.660558864,102,25.48098946
40,Northwood,84.4943564,7.559001254,0.786683388,2.531068293,0.541557405,4.087333257,31.42822193,3.893512712,10.93375898,27.68213431,42.36119029,15.12940372,43.07692308,26.05685131,55416.125,21.70189504,14.06705539,18.0393586,13.26530612,32.92638484,6.609017912,9.751037344,129950.00,35,210,79.23192448,1.008367,0.6651,2.939283416,3.64728599,4661,31.27413127,1.158301158,2.979635584,0.214546235,0.214546235,0,40.70038911,55.54187192,0.214546235,454.4089251,93.32761,3.378072689,39.29580004,11.3561257,27.57916241,0.600853212,0.060085321,39.59622664,19.94832662,72.10238539,99.51245937,6.7,86.36363636,91.55844156,64.94,3.394625177,0.1,75.2,14.4,2.7,5.1,20,91.9,346.6,1531.7,267.8603617,1.261791744,0.420597248,89,53.03246239,6.476642914,40.41171813,10.88344864,11.20475954,61.53693604,27.25830441,62,30.64516129,127,1438,111,317717.00,0.060085321,7.874015748,25.98425197,32.28346457,18.8228863,87,5.227422941,804,30.22291654,2.042900919,61.93247963,14.78463329,15.51222352,5.034924331,13.50407451,38.30034924,27.56111758,20.63445867,27.93172002,74.19825073,16.92784257,16.98250729,47.599,282.101,2.735739232,85,121.3054187,0.660938533,154,30.28300186
41,Oldtown/Middle East,87.2176483,8.718598269,1.794384632,0.474984167,0.189993667,1.604390965,25.28485775,3.6943213,20.69875449,11.70572092,51.68883259,12.2123707,86.70944088,26.99158832,19127.37949,56.1850569,9.62394854,15.56160317,4.700643246,13.92874814,40.12629162,55.19508987,173500.00,35,49,35.89138135,3.837072,14.1677,12.10153483,7.969303424,1694,42.10526316,1.754385965,5.111402359,11.80637544,0,36.25,37.11656442,42.93801302,85.59622196,143.4474616,27.74498,5.691056911,110.5678076,38.02015767,71.05079333,7.983235206,0.798323521,139.8064065,61.67049197,182.6165053,87.41610738,20.77,83.67346939,85.03401361,66.67,15.80052493,0.4,69.4,12.6,4.1,12.2,42.9,172.3,415.7,1120.7,372.8170841,3.193294082,0.698533081,239,46.26675175,7.641991066,46.09125718,14.17579165,28.37793195,52.09778659,19.52428147,486,21.19341564,871,14348,815,1881159.00,0.39916176,13.31802526,52.00918485,59.01262916,40.52449283,754,75.24199182,8654,44.40674583,3.492665403,41.73228346,6.585540444,26.95060845,22.11882606,30.27916965,33.32140301,13.45740873,22.94201861,10.14963529,51.70707571,44.9777338,66.18010886,90.779,1021.26,2.612741589,24,80.10189641,0.997904401,160,40.41512823
42,Orangeville/East Highlandtown,12.55463592,42.8345578,3.729191853,3.375802102,2.278433925,35.22737841,80.1951624,11.36427044,14.48897982,6.472612294,57.38863573,10.28550172,35.72635135,34.7826087,51915.30141,24.79435958,15.98119859,17.65569918,8.108108108,33.46063455,13.23671498,22.48636009,102000.00,31,197,49.15765653,0.502892,1.4584,2.413879809,4.249434247,3977,41.63090129,0,2.468173552,1.005783254,0.251445813,0,34.91644679,43.99486191,1.005783254,160.1709832,69.1476,6.183510638,115.8690176,39.09757967,75.34771657,1.642755448,0.10951703,112.5835067,90.35154967,237.7614719,83.91608392,85.86,86.57407407,89.35185185,52.78,3.079252903,2.2,73.3,10.2,1.4,11.5,22.9,122.9,387.4,1231.6,321.4324828,0.876136239,0.547585149,60,70.59325651,3.670507896,25.7362356,4.942528736,31.48275388,49.251065,19.26618112,623,14.92776886,565,10068,518,1568496.00,0.32855109,8.318584071,29.91150442,38.40707965,24.32432432,348,38.1119264,6118,146.0957179,7.447158033,59.05032468,18.42532468,18.95292208,1.887175325,15.46266234,33.09659091,30.60064935,20.8400974,12.17408913,67.47943596,23.06110458,20.29964747,50.995,823.459,1.684253247,192,70.64868337,1.423721389,155,28.47442777
43,Patterson Park North & East,32.18115124,48.77962754,2.610045147,2.165632054,0.246896163,14.01664786,66.08471175,8.500282167,14.27059819,7.449209932,62.63402935,7.145880361,27.47326203,28.30652791,69760.04175,18.77010407,11.25827815,13.92620624,9.290444655,46.75496689,21.68766705,40.90342679,220000.00,28,487,47.55277561,0.766224,3.5184,2.908522283,8.178264269,6395,22.75862069,0.517241379,3.816674488,0.312744332,0,2.666666667,23.5386426,47,71.61845192,214.5426114,21.42299,9.351658201,112.5163241,27.35583202,83.85456045,1.305931679,0.137466493,67.77098082,44.40167709,62.20358788,79.21847247,17.41,89.49416342,89.10505837,64.59,6.355645707,1.1,72.3,8.1,4,10.3,17,125.8,467.6,1327.9,384.0813802,2.474396866,0.068733246,6,75.80060719,4.710606209,19.44961316,5.850869724,17.0036393,35.77638496,47.21997574,153,36.60130719,134,1049,125,1250373.00,0.068733246,2.985074627,21.64179104,30.59701493,18.65657521,88,6.048525672,393,216.028593,4.880060485,65.97719438,9.851498276,12.19835587,8.220631132,19.47759215,35.86581809,24.33041634,20.32617343,6.453563731,69.95269631,22.38410596,19.75402081,88.556,330.126,3.752320339,18,238.0952381,0.412399478,30,19.3140422
44,Penn North/Reservoir Hill,83.99091683,10.96603274,0.624467783,0.879931876,0.662314315,2.876336456,31.63120015,6.850222348,16.97416974,8.231620778,56.94010786,11.00387927,62.18402427,22.95196101,34873.32682,40.65908563,13.80830819,18.58899977,4.850313298,22.09329311,25.9645464,46.64,127500.00,36,127,34.59747172,0.532269,16.2675,7.45176314,4.657351963,3006,51.61290323,0,9.471585244,1.996007984,0,6.748466258,28.93569845,53.03867403,21.62341983,229.8735862,30.27279,17.47648903,65.8874638,17.17004551,47.88994621,5.999172528,0.724038064,83.05750931,188.4567646,140.0496483,76.54584222,26.47,86.73469388,82.65306122,59.18,9.801980198,0.6,70.9,4.8,4.4,17.6,34.6,144.1,457,1193,321.2660323,4.240794373,0.413736036,12,56.70886076,8.073136428,35.21800281,12.46200608,14.02311656,58.36234508,27.61453837,142,18.30985915,110,571,105,518182.00,0,4.545454545,12.72727273,21.81818182,31.23694593,76,7.860984692,334,83.26437733,1.965246173,54.96240602,6.64160401,28.24561404,6.4160401,15.26315789,38.02005013,24.61152882,22.10526316,40.42592595,66.27987932,28.84660014,40.2413553,76.95,643.877,3.73433584,22,188.5359116,0.517170046,35,41.58047166
45,Pimlico/Arlington/Hilltop,95.21241366,2.620872363,0.208155928,1.154319236,0.236540827,0.567697985,10.30026532,5.856750875,9.698173905,9.688712272,52.64452645,22.1118365,62.12952799,22.68426295,30582.40777,42.1314741,16.45916335,15.31374502,6.424302789,19.67131474,19.1190253,38.96024465,48600.00,34,88,49.39386123,0.593242,17.0235,6.112973949,2.553520763,3877,75.88235294,0,8.348363824,4.384833634,0,18.78787879,45.44666088,53.01376364,,84.34356461,55.19732,14.40485216,65.16587678,24.11983751,39.86120515,9.394041977,1.523358158,88.35477319,354.5192959,69.90521327,80.11695906,24.51,79.52755906,81.1023622,56.69,7.366071429,0.7,67.7,18.7,3.8,35.5,44.4,157.1,461.8,1651.8,233.8354773,1.692620176,0.253893026,10,50.44027003,9.568535368,39.9911946,15.94521888,22.1237818,67.75091761,10.12530059,207,14.00966184,298,3510,283,147148.00,0.169262018,10.06711409,31.87919463,38.9261745,40.91135458,259,21.91943128,3095,51.9634394,3.639133378,55.53973227,7.633152948,23.95328966,11.25035602,15.52264312,32.07063515,30.44716605,21.95955568,22.42009973,70.11952191,20.3685259,41.63346614,72.85,417.569,1.623469097,,168.0113906,0.423155044,76,30.29790115
46,Poppleton/The Terraces/Hollins Market,81.58874638,14.08771204,1.117087298,1.737691353,0.103434009,1.36532892,32.51316732,7.964418701,21.34877948,9.040132396,53.24782789,8.398841539,86.32986627,32.18555715,20409.00909,57.24533716,14.77761836,7.651841224,6.838833094,13.48637016,44.97237569,57.44530699,82000.00,17,55,29.35578331,4.465593,14.2753,8.491947291,4.685212299,1366,58.62068966,0,7.410124725,5.124450952,0,36.92307692,26.19047619,54.21828909,35.87115666,84.18740849,11.71303,7.181677019,82.97286669,30.47581597,49.74439638,6.488399528,0.589854503,115.021628,210.9712937,112.4655918,89.39393939,23.81,71.42857143,71.42857143,66.67,15.22988506,1.4,66.9,15.4,2,13.3,49.3,215.6,405.5,1611.1,288.0456154,1.966181675,0.589854503,12,57.82312925,10.98153547,31.19533528,15.96045198,27.61744966,53.75838926,18.62416107,228,17.54385965,97,1161,88,1010825.00,0.196618168,7.216494845,20.6185567,29.89690722,30.12912482,66,12.97679906,727,68.61974046,4.128981518,46.49425287,7.643678161,25.28735632,17.47126437,22.01149425,41.72413793,16.72413793,19.54022989,15.29563547,57.58010521,38.7374462,53.08464849,87.791,497.444,3.103448276,204,74.33628319,0.589854503,69,51.12072355
47,Sandtown-Winchester/Harlem Park,96.07694638,1.605574068,0.242350803,0.446834293,1.295062102,0.333232354,7.93083113,6.906997879,18.60042411,9.110875492,51.40109058,13.98061194,74.9661705,31.7167382,25208.91343,49.69957082,15.27896996,13.62660944,8.819742489,12.5751073,35.04508036,56.7041654,34500.00,33,100,28.20937552,1.5405,35.1333,8.199436806,1.424548617,6037,88.10810811,0.540540541,13.98937936,11.0982276,0,19.47194719,41.27423823,52.98281092,0.82822594,70.3992049,15.23936,16.21655258,66.52792696,27.99409237,37.05692803,6.310418904,1.00698174,101.9736842,308.8077336,71.49570354,81.56342183,33.33,83.06010929,86.8852459,59.02,15.37025513,1.4,68.8,7.4,0.7,23.1,57.2,171.4,429.4,1027.9,312.5,2.752416756,0.067132116,1,49.48690088,8.813231921,41.6998672,15.11700145,25.05502143,69.32700104,5.617977528,191,15.18324607,154,1188,142,325649.00,0,1.948051948,17.53246753,23.37662338,37.87553648,113,7.585929108,733,120.972073,3.423737916,42.84683818,7.742245732,44.74633325,2.981485934,12.23851887,32.171195,21.13488819,34.45539793,16.16918293,70.45064378,22.36051502,56.65236052,80.839,282.291,1.683096898,13,88.97876643,0.067132116,6,29.94092374
48,South Baltimore,2.295848227,90.03299423,2.777014023,0.811108056,0.109980753,3.973054715,21.11191328,6.488864449,5.072862249,5.444047292,76.38163321,6.612592796,12.23300971,15.76852419,109295.2402,7.562767912,5.296999388,10.86956522,6.705450092,69.56521739,0.826446281,0.118906064,325000.00,15,281,71.88498403,0.987511,0.2324,0.29044438,10.80453093,3443,9.846153846,0.307692308,0.842533411,0.58088876,0,0,21.31147541,33.84747215,42.40487947,368.8643625,12.77955,2.165267344,27.7864502,6.08804246,21.38620044,0,0,28.25476116,9.990633781,53.38744927,98.30508475,15.38,92.19858156,91.4893617,77.3,0.699844479,3.3,77.1,4.3,4,2.7,4.9,75,395.6,1611.9,249.4536372,2.965969404,0.780518264,47,86.16153206,1.748542881,11.49042465,1.989013071,8.530727182,20.92098725,70.54828557,253,38.73517787,268,19183,239,11065730.00,0.624414611,3.358208955,22.3880597,33.95522388,7.899571341,181,28.25476116,17898,29.50359038,4.839213238,76.90168818,9.672293942,6.097318769,5.4816286,20.17874876,39.06653426,27.74577954,13.00893744,5.814466399,65.82976118,30.64911206,6.062461727,47.26,98.1892,1.847070506,1,7.712082262,1.873243834,916,41.21136435
