geoid10,name,population_2010
245100102002002,"Block 2002, Block Group 2, Census Tract 102, Baltimore city, Maryland",103
245100102002003,"Block 2003, Block Group 2, Census Tract 102, Baltimore city, Maryland",69
245100102002004,"Block 2004, Block Group 2, Census Tract 102, Baltimore city, Maryland",58
245100102002005,"Block 2005, Block Group 2, Census Tract 102, Baltimore city, Maryland",38
245100102002006,"Block 2006, Block Group 2, Census Tract 102, Baltimore city, Maryland",65
245100102002007,"Block 2007, Block Group 2, Census Tract 102, Baltimore city, Maryland",73
245100102003000,"Block 3000, Block Group 3, Census Tract 102, Baltimore city, Maryland",78
245100102003001,"Block 3001, Block Group 3, Census Tract 102, Baltimore city, Maryland",87
245100102003002,"Block 3002, Block Group 3, Census Tract 102, Baltimore city, Maryland",101
245100102003003,"Block 3003, Block Group 3, Census Tract 102, Baltimore city, Maryland",82
245100102003004,"Block 3004, Block Group 3, Census Tract 102, Baltimore city, Maryland",0
245100102003005,"Block 3005, Block Group 3, Census Tract 102, Baltimore city, Maryland",95
245100102003006,"Block 3006, Block Group 3, Census Tract 102, Baltimore city, Maryland",93
245100102003007,"Block 3007, Block Group 3, Census Tract 102, Baltimore city, Maryland",74
245100102003008,"Block 3008, Block Group 3, Census Tract 102, Baltimore city, Maryland",81
245100102003009,"Block 3009, Block Group 3, Census Tract 102, Baltimore city, Maryland",79
245100102003010,"Block 3010, Block Group 3, Census Tract 102, Baltimore city, Maryland",73
245100102003011,"Block 3011, Block Group 3, Census Tract 102, Baltimore city, Maryland",99
245100102004000,"Block 4000, Block Group 4, Census Tract 102, Baltimore city, Maryland",125
245100102004001,"Block 4001, Block Group 4, Census Tract 102, Baltimore city, Maryland",77
245100102004002,"Block 4002, Block Group 4, Census Tract 102, Baltimore city, Maryland",123
245100102004003,"Block 4003, Block Group 4, Census Tract 102, Baltimore city, Maryland",90
245100102004004,"Block 4004, Block Group 4, Census Tract 102, Baltimore city, Maryland",133
245100102004005,"Block 4005, Block Group 4, Census Tract 102, Baltimore city, Maryland",116
245100102004006,"Block 4006, Block Group 4, Census Tract 102, Baltimore city, Maryland",0
245100102004007,"Block 4007, Block Group 4, Census Tract 102, Baltimore city, Maryland",0
245100102004008,"Block 4008, Block Group 4, Census Tract 102, Baltimore city, Maryland",0
245100102004009,"Block 4009, Block Group 4, Census Tract 102, Baltimore city, Maryland",0
245100102004010,"Block 4010, Block Group 4, Census Tract 102, Baltimore city, Maryland",0
245100102004011,"Block 4011, Block Group 4, Census Tract 102, Baltimore city, Maryland",0
245100102004012,"Block 4012, Block Group 4, Census Tract 102, Baltimore city, Maryland",0
245100103001000,"Block 1000, Block Group 1, Census Tract 103, Baltimore city, Maryland",29
245100103001001,"Block 1001, Block Group 1, Census Tract 103, Baltimore city, Maryland",0
245100103001002,"Block 1002, Block Group 1, Census Tract 103, Baltimore city, Maryland",5
245100103001003,"Block 1003, Block Group 1, Census Tract 103, Baltimore city, Maryland",0
245100103001004,"Block 1004, Block Group 1, Census Tract 103, Baltimore city, Maryland",0
245100103001005,"Block 1005, Block Group 1, Census Tract 103, Baltimore city, Maryland",0
245100103001006,"Block 1006, Block Group 1, Census Tract 103, Baltimore city, Maryland",0
245100103001007,"Block 1007, Block Group 1, Census Tract 103, Baltimore city, Maryland",0
245100103001008,"Block 1008, Block Group 1, Census Tract 103, Baltimore city, Maryland",0
245100103001009,"Block 1009, Block Group 1, Census Tract 103, Baltimore city, Maryland",0
245100103001010,"Block 1010, Block Group 1, Census Tract 103, Baltimore city, Maryland",0
245100103001011,"Block 1011, Block Group 1, Census Tract 103, Baltimore city, Maryland",0
245100103001012,"Block 1012, Block Group 1, Census Tract 103, Baltimore city, Maryland",0
245100103001013,"Block 1013, Block Group 1, Census Tract 103, Baltimore city, Maryland",104
245100103001014,"Block 1014, Block Group 1, Census Tract 103, Baltimore city, Maryland",91
245100103001015,"Block 1015, Block Group 1, Census Tract 103, Baltimore city, Maryland",23
245100103001016,"Block 1016, Block Group 1, Census Tract 103, Baltimore city, Maryland",67
245100103001017,"Block 1017, Block Group 1, Census Tract 103, Baltimore city, Maryland",86
245100103001018,"Block 1018, Block Group 1, Census Tract 103, Baltimore city, Maryland",77
