objectid,nsa_name,temp_mean_am,temp_median_am,temp_min_am,temp_max_am,temp_mean_aft,temp_median_aft,temp_min_aft,temp_max_aft,temp_mean_pm,temp_median_pm,temp_min_pm,temp_max_pm,acres,07_lid_mean,15_lid_mean,lid_change_percent,lid_change_percent_point
1,abell,78.95461280036564,78.95633544921884,78.69087829589847,78.85204429626464,96.72758940255208,96.70151786804205,95.30000915527347,96.65233688354486,90.5946365201609,90.55180053710943,89.94855499267587,90.5299858093262,46.7104316,0.190577973233124,0.190605987480089,1.4699624772863192e-4,2.801424696499688e-5
2,allendale,77.85670920038277,77.84806642532348,76.82458267211918,77.5583904266357,94.55953352555505,94.7035511016846,92.75948257446285,93.68006134033202,89.08490208551294,89.32197465896603,87.17945442199701,87.62148933410643,260.02386379,0.189882059806971,0.187960224507232,-0.01012120524547031,-0.001921835299739022
3,arcadia,76.99381240940582,77.06920013427731,75.79639968872073,76.36680641174324,94.06509525077186,94.23600044250489,92.43947143554692,92.87462615966798,88.05368374010587,88.28405675888064,86.300623703003,86.80565147399906,144.6780746,0.255883003042915,0.260415878249133,0.01771463970765481,0.004532875206217979
4,arlington,78.22966943280966,78.36698074340822,77.16212043762201,77.623621749878,95.55424997397397,95.56810474395749,94.42461853027346,94.6528457641601,89.5751911576265,89.55265235900882,88.53641014099118,88.90259132385248,115.58468919,0.249873233536895,0.254838228514897,0.01987005533855593,0.004964994978002013
5,armistead gardens,77.97792581748308,77.86330051422128,75.66693954467775,76.98557701110849,95.01661723830557,95.20748367309571,90.02451858520514,93.91310195922861,89.41593101251084,89.6257732391357,85.2385581970214,88.83255691528322,302.58565324,0.381051143913864,0.404378943132553,0.061219601597527824,0.023327799218688994
6,ashburton,77.25717709523798,77.09610633850093,76.35835380554204,76.64485321044914,94.41620350473603,94.22545700073236,92.97966918945308,93.85186004638663,88.62448485913788,88.42464141845701,87.63621101379391,88.15050849914547,225.55523578,0.340053499143631,0.333860752407787,-0.018211095464211915,-0.006192746735843968
7,baltimore highlands,80.31907584037154,80.41913671493535,79.68216781616216,79.86695442199701,96.50154763862864,96.50006465911862,95.46356124877929,95.74429626464845,91.48237710674653,91.62223453521726,90.20332107543938,90.6185356140137,96.96706957,0.060994517673914,0.078566275964817,0.28808750295959873,0.017571758290902996
9,barclay,79.80061509086016,79.72906398773199,79.3888534545899,79.63283576965334,97.64480366127333,97.5658826828003,96.40996475219727,97.31186676025395,91.19217277356668,91.21400833129888,90.60818099975583,90.83825531005856,89.95306758,0.128408414018464,0.12542243891384,-0.023253734013058122,-0.0029859751046240057
10,barre circle,79.50253260726913,79.51474304199212,79.29375648498535,79.40193061828623,95.66386279979962,95.66311073303228,95.06794357299813,95.30579757690428,91.05480524021877,91.2344429016113,89.75527801513664,90.35545425415035,15.32702623,0.228124438320053,0.263138817326703,0.15348806670824855,0.035014379006650026
123,bayview,80.12599746983611,80.23160438537593,79.40076675415034,79.99662055969239,94.86672123146212,95.01232528686523,92.80690231323236,93.85054855346678,89.57623174813949,89.46678562164303,88.79046211242681,89.35099487304691,59.78610724,0.044553197044865,0.048324680909887,0.0846512509803532,0.0037714838650219976
11,beechfield,77.51167915959746,77.5250572204589,75.75916976928715,76.64610633850094,93.53232399368284,93.67000885009762,89.30380859375,91.91045913696284,87.21115418194263,87.41798648834234,83.29432830810549,85.45328598022466,257.89012067,0.433486150126855,0.418819049409576,-0.03383522336985123,-0.014667100717279002
275,belair-edison,79.10821645663766,79.11019897460942,76.08488006591799,77.35230751037594,95.37994186441668,95.33401870727533,91.97525100708015,94.6021781921387,89.76258684079085,89.70909423828115,87.87383499145514,88.51345901489265,527.96850716,0.128915748984731,0.138224679287806,0.07220941100204575,0.009308930303075003
12,belair-parkside,76.64971372784464,76.50002937316893,75.96494026184084,76.57594833374024,93.71351477322943,93.58231391906739,91.53180160522467,93.38355407714846,87.95476651911481,87.88912658691405,86.75082283020026,87.98499259948724,20.61651843,0.333678159895594,0.329358733948305,-0.012944886619611354,-0.004319425947289013
13,bellona-gittings,75.01387041474538,75.03630714416498,74.20318298339846,74.61630325317381,93.46128897884125,93.44391365051277,91.98518676757809,92.96770095825187,87.58954116718479,87.75663833618168,85.16699600219727,86.9241561889649,104.03781371,0.535458943593987,0.534088208522962,-0.002559925625342424,-0.001370735071025031
270,belvedere,76.54005583437103,76.49340152740484,75.68144493103023,75.98117599487313,93.81906083487303,93.90381507873536,91.75472106933597,93.21472854614265,87.92046828859527,87.89480342864996,87.02664146423348,87.44120712280275,66.33053398,0.413906767908236,0.422088950125756,0.01976817692271703,0.008182182217519984
14,berea,79.78612433115774,79.885009765625,78.24987335205086,78.94673614501951,95.77299723131412,95.34554748535155,94.13924865722655,94.68163681030273,90.11370841532971,89.74477920532226,89.0661811828613,89.31435203552252,217.61489913,0.055451797855338,0.059707363901533,0.07674351798830531,0.0042555660461950015
15,better waverly,78.9592054077825,78.8005536079406,77.7077014923095,78.22619438171378,95.92276894885094,95.85583839416498,94.45991897583013,94.76759109497073,89.95665005847646,89.88711395263664,89.00461311340334,89.5546710968018,180.33783774,0.198993586756997,0.209941926926201,0.05501855787228806,0.010948340169204013
16,beverly hills,77.4064767663016,77.29253330230705,75.89787902832038,77.14640655517586,94.01952673452215,93.95756912231437,92.66861877441403,93.82339172363288,88.01026268532078,87.7524360656738,86.89544067382809,87.5848876953125,66.66386861,0.319274996590764,0.306999679049656,-0.038447475286773204,-0.012275317541108
