STATEFP10,COUNTYFP10,TRACTCE10,BLOCKCE10,GEOID10,NAME10,MTFCC10,UR10,UACE10,UATYPE,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,15_mean
"24","510","250206","1003","245102502061003",Block 1003,G5040,U,"04843",U,S,"0","4313","+39.2759591","-076.6636059",0.940792590997200
"24","510","020300","2028","245100203002028",Block 2028,G5040,U,"04843",U,S,"0","8885","+39.2817238","-076.5993520",0.014033840168992
"24","510","160700","4012","245101607004012",Block 4012,G5040,U,"04843",U,S,"73","234","+39.3025382","-076.6740153",0.056952438654953
"24","510","250600","1009","245102506001009",Block 1009,G5040,R,,,S,"0","5984470","+39.2329752","-076.5544168",0.000014686715572
"24","510","250500","1011","245102505001011",Block 1011,G5040,U,"04843",U,S,"208002","2553","+39.2084710","-076.5359953",0.127791324576894
"24","510","250301","1018","245102503011018",Block 1018,G5040,U,"04843",U,S,"0","104039","+39.2638625","-076.6260835",0.000699235752290
"24","510","260605","6126","245102606056126",Block 6126,G5040,U,"04843",U,S,"0","11060","+39.2592654","-076.5355395",0.006661514423481
"24","510","260605","6186","245102606056186",Block 6186,G5040,U,"04843",U,S,"0","39230","+39.2561352","-076.5359811",0.000000000000000
"24","510","230300","1059","245102303001059",Block 1059,G5040,U,"04843",U,S,"0","346","+39.2689743","-076.6219497",0.032681489418698
"24","510","260605","6146","245102606056146",Block 6146,G5040,U,"04843",U,S,"0","10332","+39.2631650","-076.5567803",0.032044884417231
"24","510","210100","1085","245102101001085",Block 1085,G5040,U,"04843",U,S,"0","17641","+39.2704869","-076.6232340",0.000000000000000
"24","510","230300","1013","245102303001013",Block 1013,G5040,U,"04843",U,S,"0","8330","+39.2680483","-076.6251409",0.016897167075619
"24","510","250303","1006","245102503031006",Block 1006,G5040,U,"04843",U,S,"0","15195","+39.2699233","-076.6428354",0.308598646277262
"24","510","260605","6251","245102606056251",Block 6251,G5040,R,,,S,"0","141434","+39.2581475","-076.5704319",0.000000000000000
"24","510","250600","1104","245102506001104",Block 1104,G5040,U,"04843",U,S,"0","10784","+39.2466153","-076.6117688",0.000000000000000
"24","510","250206","1002","245102502061002",Block 1002,G5040,U,"04843",U,S,"0","10814","+39.2745817","-076.6589846",0.514050566575889
"24","510","260605","6217","245102606056217",Block 6217,G5040,U,"04843",U,S,"0","623306","+39.2685268","-076.5730880",0.000048294589843
"24","510","250500","2038","245102505002038",Block 2038,G5040,R,,,S,"0","1174","+39.2138634","-076.5874927",0.000000000000000
"24","510","250401","3008","245102504013008",Block 3008,G5040,U,"04843",U,S,"0","23256","+39.2385380","-076.6167955",0.000000000000000
"24","510","250500","1001","245102505001001",Block 1001,G5040,U,"04843",U,S,"566230","46816","+39.2140771","-076.5576833",0.214506245809555
"24","510","250301","1005","245102503011005",Block 1005,G5040,U,"04843",U,S,"0","458","+39.2689179","-076.6318843",0.000000000000000
"24","510","270803","3029","245102708033029",Block 3029,G5040,U,"04843",U,S,"160350","2110","+39.3567813","-076.5859423",0.375763946036116
"24","510","250303","3001","245102503033001",Block 3001,G5040,U,"04843",U,S,"0","669","+39.2711234","-076.6480667",0.000000000000000
"24","510","210100","1083","245102101001083",Block 1083,G5040,U,"04843",U,S,"0","39007","+39.2698658","-076.6254043",0.009026925962535
"24","510","260605","5014","245102606055014",Block 5014,G5040,U,"04843",U,S,"0","7144","+39.2755766","-076.5714606",0.000000000000000
"24","510","240200","1000","245102402001000",Block 1000,G5040,U,"04843",U,S,"0","312934","+39.2763837","-076.6005302",0.000048987633443
"24","510","250301","2030","245102503012030",Block 2030,G5040,U,"04843",U,S,"0","3150","+39.2658769","-076.6360796",0.166927229285272
"24","510","230300","1008","245102303001008",Block 1008,G5040,U,"04843",U,S,"0","481","+39.2725630","-076.6217100",0.000000000000000
"24","510","200600","1002","245102006001002",Block 1002,G5040,U,"04843",U,S,"0","13791","+39.2881820","-076.6653534",0.334994880638034
"24","510","250500","2054","245102505002054",Block 2054,G5040,U,"04843",U,S,"0","12582","+39.2129978","-076.5887570",0.137897426052542
"24","510","210100","1086","245102101001086",Block 1086,G5040,U,"04843",U,S,"0","34728","+39.2688522","-076.6270717",0.002121580189310
"24","510","250500","2031","245102505002031",Block 2031,G5040,R,,,S,"0","396292","+39.2108347","-076.5769432",0.000127538969133
"24","510","250500","2061","245102505002061",Block 2061,G5040,R,,,S,"0","38533","+39.2084394","-076.5772210",0.000764326910094
"24","510","230300","1024","245102303001024",Block 1024,G5040,U,"04843",U,S,"0","121938","+39.2661273","-076.6238067",0.001142877170419
"24","510","150900","4025","245101509004025",Block 4025,G5040,U,"04843",U,S,"0","1171","+39.3026667","-076.6744209",0.187207735594832
"24","510","250301","1006","245102503011006",Block 1006,G5040,U,"04843",U,S,"0","10990","+39.2686553","-076.6320036",0.112663076103591
"24","510","250500","1026","245102505001026",Block 1026,G5040,U,"04843",U,S,"483580","3013","+39.2088881","-076.5629259",0.065255940034762
"24","510","240100","1000","245102401001000",Block 1000,G5040,U,"04843",U,S,"0","793715","+39.2724582","-076.5840753",0.000125249899888
"24","510","271503","1012","245102715031012",Block 1012,G5040,U,"04843",U,S,"0","713","+39.3480551","-076.6462016",0.355839416058394
"24","510","250207","1000","245102502071000",Block 1000,G5040,U,"04843",U,S,"0","292691","+39.2573001","-076.6219777",0.002092482521645
"24","510","210100","1084","245102101001084",Block 1084,G5040,U,"04843",U,S,"0","87709","+39.2721166","-076.6238469",0.006275058126910
"24","510","260605","6123","245102606056123",Block 6123,G5040,U,"04843",U,S,"0","87318","+39.2618285","-076.5386257",0.000682063641539
"24","510","230300","1040","245102303001040",Block 1040,G5040,U,"04843",U,S,"0","224904","+39.2601304","-076.6189897",0.000136736968471
"24","510","260605","6166","245102606056166",Block 6166,G5040,R,,,S,"0","6053152","+39.2432225","-076.5459148",0.000030919024042
"24","510","250206","1004","245102502061004",Block 1004,G5040,U,"04843",U,S,"0","1047","+39.2756655","-076.6551453",0.096172631205044
"24","510","250301","2009","245102503012009",Block 2009,G5040,U,"04843",U,S,"0","460","+39.2689104","-076.6386909",0.001815980629540
"24","510","130805","1020","245101308051020",Block 1020,G5040,U,"04843",U,S,"0","2365","+39.3474911","-076.6472566",0.478465891229173
"24","510","250600","1002","245102506001002",Block 1002,G5040,R,,,S,"0","14459","+39.2518188","-076.5725504",0.000000000000000
"24","510","271102","1022","245102711021022",Block 1022,G5040,U,"04843",U,S,"21191","1462","+39.3437672","-076.6230125",0.589164581880819
"24","510","250500","2063","245102505002063",Block 2063,G5040,U,"04843",U,S,"0","9963","+39.2078180","-076.5810805",0.005669632033421
"24","510","271503","1010","245102715031010",Block 1010,G5040,U,"04843",U,S,"0","515","+39.3478035","-076.6466281",0.000000000000000
"24","510","230300","1009","245102303001009",Block 1009,G5040,U,"04843",U,S,"0","25772","+39.2703005","-076.6221196",0.001838553382938
"24","510","250500","2032","245102505002032",Block 2032,G5040,R,,,S,"0","1666","+39.2090098","-076.5830046",0.000000000000000
"24","510","250303","1028","245102503031028",Block 1028,G5040,U,"04843",U,S,"81098","13664","+39.2652475","-076.6460930",0.264688754291675
"24","510","210100","1093","245102101001093",Block 1093,G5040,U,"04843",U,S,"0","7832","+39.2687787","-076.6289990",0.068887808233801
"24","510","010400","2019","245100104002019",Block 2019,G5040,U,"04843",U,S,"0","558487","+39.2774403","-076.5819397",0.000051903485469
"24","510","130400","1006","245101304001006",Block 1006,G5040,U,"04843",U,S,"780926","13589","+39.3249929","-076.6488190",0.715942931586919
"24","510","150701","1002","245101507011002",Block 1002,G5040,U,"04843",U,S,"307472","117437","+39.3193302","-076.6678344",0.301621976900369
"24","510","250205","1041","245102502051041",Block 1041,G5040,U,"04843",U,S,"0","6118","+39.2405862","-076.6153527",0.041438896987366
"24","510","250203","1028","245102502031028",Block 1028,G5040,U,"04843",U,S,"0","6622","+39.2472190","-076.6123124",0.000266561912512
"24","510","090200","2000","245100902002000",Block 2000,G5040,U,"04843",U,S,"68620","18806","+39.3364380","-076.5902785",0.174822804314330
"24","510","260605","6247","245102606056247",Block 6247,G5040,R,,,S,"0","57903","+39.2600678","-076.5725948",0.000000000000000
"24","510","260605","6124","245102606056124",Block 6124,G5040,U,"04843",U,S,"0","7389","+39.2668168","-076.5395927",0.091962692007944
"24","510","120700","3016","245101207003016",Block 3016,G5040,U,"04843",U,S,"0","1587","+39.3184201","-076.6277477",0.137143526380512
"24","510","160700","4015","245101607004015",Block 4015,G5040,U,"04843",U,S,"0","861","+39.2944562","-076.6700815",0.221611721611722
"24","510","260605","6118","245102606056118",Block 6118,G5040,U,"04843",U,S,"0","4161","+39.2663055","-076.5346613",0.446962929879410
"24","510","250206","1001","245102502061001",Block 1001,G5040,U,"04843",U,S,"0","1929","+39.2761038","-076.6569817",0.104510662879700
"24","510","250500","1017","245102505001017",Block 1017,G5040,R,,,S,"0","5437","+39.2082648","-076.5326521",0.005484741824147
"24","510","130806","1004","245101308061004",Block 1004,G5040,U,"04843",U,S,"0","707","+39.3448402","-076.6491332",0.519978969505783
"24","510","250600","1067","245102506001067",Block 1067,G5040,U,"04843",U,S,"549644","6166","+39.2283590","-076.5687385",0.021228997796663
"24","510","210200","1061","245102102001061",Block 1061,G5040,U,"04843",U,S,"0","12265","+39.2714895","-076.6485117",0.427764228258070
"24","510","030200","1045","245100302001045",Block 1045,G5040,U,"04843",U,S,"4799","2926","+39.2878885","-076.6047950",0.031269167398285
"24","510","020300","2033","245100203002033",Block 2033,G5040,U,"04843",U,S,"0","185242","+39.2785502","-076.5969633",0.000000000000000
"24","510","260501","1036","245102605011036",Block 1036,G5040,U,"04843",U,S,"26379","3813","+39.2878224","-076.5502996",0.114132207499677
"24","510","240100","2049","245102401002049",Block 2049,G5040,R,,,S,"0","185296","+39.2629213","-076.5776893",0.000018551973353
"24","510","090200","1000","245100902001000",Block 1000,G5040,U,"04843",U,S,"267052","14981","+39.3390978","-076.5835169",0.275593570415610
"24","510","250600","1000","245102506001000",Block 1000,G5040,R,,,S,"0","2864422","+39.2508740","-076.5920804",0.000223674629702
"24","510","250203","1000","245102502031000",Block 1000,G5040,R,,,S,"0","305946","+39.2529139","-076.6117325",0.000153359002492
"24","510","130400","1042","245101304001042",Block 1042,G5040,U,"04843",U,S,"55497","190366","+39.3187878","-076.6393455",0.002619843776747
"24","510","010100","3026","245100101003026",Block 3026,G5040,U,"04843",U,S,"0","148387","+39.2750596","-076.5747522",0.000101432388113
"24","510","200600","1041","245102006001041",Block 1041,G5040,U,"04843",U,S,"0","912","+39.2766508","-076.6617873",0.371995926680244
"24","510","090200","2015","245100902002015",Block 2015,G5040,U,"04843",U,S,"111847","21311","+39.3328928","-076.5904853",0.009858898440787
"24","510","250205","1043","245102502051043",Block 1043,G5040,U,"04843",U,S,"0","7371","+39.2390886","-076.6168236",0.002811042480777
"24","510","250500","1021","245102505001021",Block 1021,G5040,U,"04843",U,S,"272571","1125","+39.2087027","-076.5489815",0.252107752346398
"24","510","250600","1053","245102506001053",Block 1053,G5040,U,"04843",U,S,"21791","1632","+39.2349292","-076.5714713",0.000091229294917
"24","510","260605","6128","245102606056128",Block 6128,G5040,U,"04843",U,S,"0","11940","+39.2584754","-076.5355669",0.007088501221619
"24","510","220100","3003","245102201003003",Block 3003,G5040,U,"04843",U,S,"0","230529","+39.2834866","-076.6083762",0.000056826517107
"24","510","030200","2008","245100302002008",Block 2008,G5040,U,"04843",U,S,"0","5377","+39.2859100","-076.6044945",0.001589605363190
"24","510","260605","4005","245102606054005",Block 4005,G5040,U,"04843",U,S,"0","9402","+39.2667189","-076.5382020",0.281442983192862
"24","510","250500","2066","245102505002066",Block 2066,G5040,U,"04843",U,S,"0","1695","+39.2075025","-076.5831071",0.000000000000000
"24","510","250303","1003","245102503031003",Block 1003,G5040,U,"04843",U,S,"0","699","+39.2708195","-076.6475205",0.025518341307815
"24","510","150500","1015","245101505001015",Block 1015,G5040,U,"04843",U,S,"114116","9673","+39.3222425","-076.6601005",0.211669875150574
"24","510","260605","6176","245102606056176",Block 6176,G5040,U,"04843",U,S,"61887","1797","+39.2588368","-076.5643296",0.010997492081601
"24","510","220100","3016","245102201003016",Block 3016,G5040,U,"04843",U,S,"0","46318","+39.2804244","-076.6045699",0.001470334546242
"24","510","240100","2050","245102401002050",Block 2050,G5040,R,,,S,"0","44530","+39.2610419","-076.5788479",0.000000000000000
"24","510","230300","1010","245102303001010",Block 1010,G5040,U,"04843",U,S,"0","20171","+39.2700174","-076.6231002",0.000000000000000
"24","510","250301","1000","245102503011000",Block 1000,G5040,U,"04843",U,S,"3110","205","+39.2681230","-076.6267164",0.109286554951522
"24","510","250600","1111","245102506001111",Block 1111,G5040,U,"04843",U,S,"0","66141","+39.2435629","-076.6129877",0.001122395943079
"24","510","090200","1027","245100902001027",Block 1027,G5040,U,"04843",U,S,"443101","11374","+39.3340392","-076.5787933",0.302589050020678
"24","510","270101","2036","245102701012036",Block 2036,G5040,U,"04843",U,S,"0","2251","+39.3268167","-076.5702120",0.619804350518017
"24","510","260605","6185","245102606056185",Block 6185,G5040,U,"04843",U,S,"0","17480","+39.2575297","-076.5354777",0.000000000000000
"24","510","250301","1015","245102503011015",Block 1015,G5040,U,"04843",U,S,"0","464","+39.2656678","-076.6352414",0.000000000000000
"24","510","271200","4000","245102712004000",Block 4000,G5040,U,"04843",U,S,"8875","933","+39.3579550","-076.6164030",0.470466193620508
"24","510","160700","4013","245101607004013",Block 4013,G5040,U,"04843",U,S,"0","13147","+39.3005338","-076.6733145",0.538551212033432
"24","510","250500","1000","245102505001000",Block 1000,G5040,R,,,S,"0","1639356","+39.2155217","-076.5444306",0.001103048552856
"24","510","230300","1039","245102303001039",Block 1039,G5040,U,"04843",U,S,"0","36384","+39.2619971","-076.6224721",0.000066393093075
"24","510","260605","6177","245102606056177",Block 6177,G5040,U,"04843",U,S,"0","42399","+39.2540950","-076.5370657",0.000000000000000
"24","510","250500","1016","245102505001016",Block 1016,G5040,R,,,S,"0","186285","+39.2119038","-076.5314399",0.001298363326752
"24","510","200600","1037","245102006001037",Block 1037,G5040,U,"04843",U,S,"0","5369","+39.2799653","-076.6608066",0.563194324277557
"24","510","271501","1036","245102715011036",Block 1036,G5040,U,"04843",U,S,"0","6973","+39.3654206","-076.6482580",0.660845355606176
"24","510","230300","1054","245102303001054",Block 1054,G5040,U,"04843",U,S,"0","177320","+39.2576300","-076.6133343",0.002388211728226
"24","510","130805","1016","245101308051016",Block 1016,G5040,U,"04843",U,S,"0","2895","+39.3459111","-076.6490503",0.450006417661404
"24","510","280301","2004","245102803012004",Block 2004,G5040,U,"04843",U,S,"0","7610","+39.3198993","-076.7071021",0.644775390625000
"24","510","080101","1000","245100801011000",Block 1000,G5040,U,"04843",U,S,"0","1899","+39.3333214","-076.5752302",0.117281230106263
"24","510","250301","1004","245102503011004",Block 1004,G5040,U,"04843",U,S,"0","567","+39.2691082","-076.6317869",0.000000000000000
"24","510","271102","2012","245102711022012",Block 2012,G5040,U,"04843",U,S,"17721","27756","+39.3435256","-076.6168104",0.003689524284261
"24","510","040100","1046","245100401001046",Block 1046,G5040,U,"04843",U,S,"3722","1430","+39.2889044","-076.6056845",0.024864319071059
"24","510","210100","1092","245102101001092",Block 1092,G5040,U,"04843",U,S,"0","1688","+39.2693730","-076.6313799",0.222295623451693
"24","510","250207","1001","245102502071001",Block 1001,G5040,U,"04843",U,S,"0","87472","+39.2589130","-076.6264489",0.000072226400024
"24","510","250500","1071","245102505001071",Block 1071,G5040,U,"04843",U,S,"0","8374","+39.2075251","-076.5807479",0.013048398908195
"24","510","240100","2044","245102401002044",Block 2044,G5040,R,,,S,"0","14366","+39.2623458","-076.5884786",0.008963795578896
"24","510","250401","3007","245102504013007",Block 3007,G5040,U,"04843",U,S,"0","994","+39.2399638","-076.6152108",0.000000000000000
"24","510","250203","1027","245102502031027",Block 1027,G5040,U,"04843",U,S,"0","48978","+39.2441150","-076.6139104",0.010985654719222
"24","510","250401","1033","245102504011033",Block 1033,G5040,U,"04843",U,S,"0","7097","+39.2405348","-076.6147199",0.000000000000000
"24","510","090200","1051","245100902001051",Block 1051,G5040,U,"04843",U,S,"0","222133","+39.3317960","-076.5841007",0.000000000000000
"24","510","240100","2047","245102401002047",Block 2047,G5040,R,,,S,"0","386223","+39.2557919","-076.5952508",0.000000000000000
"24","510","210100","1091","245102101001091",Block 1091,G5040,U,"04843",U,S,"0","294","+39.2692563","-076.6316958",0.000000000000000
"24","510","200600","1012","245102006001012",Block 1012,G5040,U,"04843",U,S,"0","5866","+39.2869912","-076.6638197",0.281311371555274
"24","510","230300","1011","245102303001011",Block 1011,G5040,U,"04843",U,S,"0","26270","+39.2679777","-076.6231338",0.000000000000000
"24","510","220100","3005","245102201003005",Block 3005,G5040,U,"04843",U,S,"0","2357","+39.2863093","-076.6078193",0.000000000000000
"24","510","240100","2046","245102401002046",Block 2046,G5040,R,,,S,"0","928757","+39.2589625","-076.5858685",0.000001200422188
"24","510","120700","3023","245101207003023",Block 3023,G5040,U,"04843",U,S,"0","6803","+39.3159912","-076.6259371",0.406818771419599
"24","510","250500","1072","245102505001072",Block 1072,G5040,R,,,S,"0","26684","+39.2067969","-076.5800261",0.005240287188629
"24","510","250500","1040","245102505001040",Block 1040,G5040,U,"04843",U,S,"29675","102","+39.2039533","-076.5531193",0.000901806108566
"24","510","270501","1000","245102705011000",Block 1000,G5040,U,"04843",U,S,"103980","2012","+39.3715045","-076.5318398",0.482041098255914
"24","510","130805","1021","245101308051021",Block 1021,G5040,U,"04843",U,S,"0","1136","+39.3453821","-076.6492250",0.757399836467702
"24","510","250500","2025","245102505002025",Block 2025,G5040,R,,,S,"0","1651318","+39.2186966","-076.5725879",0.001269815013457
"24","510","250301","1019","245102503011019",Block 1019,G5040,U,"04843",U,S,"0","190567","+39.2610583","-076.6270584",0.000894147817163
"24","510","030200","2012","245100302002012",Block 2012,G5040,U,"04843",U,S,"0","42071","+39.2823698","-076.6030563",0.000090544503728
"24","510","010300","1006","245100103001006",Block 1006,G5040,U,"04843",U,S,"87911","10498","+39.2883650","-076.5802265",0.254462633586345
"24","510","250205","1042","245102502051042",Block 1042,G5040,U,"04843",U,S,"0","938","+39.2400252","-076.6158672",0.000000000000000
"24","510","240400","2022","245102404002022",Block 2022,G5040,R,,,S,"0","965344","+39.2593177","-076.6020278",0.000882075673720
"24","510","280302","2010","245102803022010",Block 2010,G5040,U,"04843",U,S,"0","12640","+39.3163280","-076.7031078",0.632327107818277
"24","510","271300","1002","245102713001002",Block 1002,G5040,U,"04843",U,S,"330379","3175","+39.3703233","-076.6413716",0.541463501590133
"24","510","250600","1010","245102506001010",Block 1010,G5040,U,"04843",U,S,"276381","5768","+39.2387754","-076.5682876",0.011732629090203
"24","510","271503","1011","245102715031011",Block 1011,G5040,U,"04843",U,S,"0","443","+39.3478928","-076.6464491",0.164219798657718
"24","510","271501","1006","245102715011006",Block 1006,G5040,U,"04843",U,S,"0","9853","+39.3678963","-076.6486586",0.315692725370236
"24","510","250600","1082","245102506001082",Block 1082,G5040,R,,,S,"0","545476","+39.2245298","-076.5699899",0.000984833529579
"24","510","040200","1017","245100402001017",Block 1017,G5040,U,"04843",U,S,"14821","0","+39.2897757","-076.6230414",0.165377382146439
"24","510","090700","3002","245100907003002",Block 3002,G5040,U,"04843",U,S,"5821","0","+39.3203714","-076.5954141",0.200565016838779
"24","510","090800","2012","245100908002012",Block 2012,G5040,U,"04843",U,S,"5696","0","+39.3139809","-076.6000770",0.000570943851750
"24","510","270302","1008","245102703021008",Block 1008,G5040,U,"04843",U,S,"19042","0","+39.3455506","-076.5613871",0.383342278604538
"24","510","271900","1027","245102719001027",Block 1027,G5040,U,"04843",U,S,"1616","0","+39.3568422","-076.6726938",0.184116768187565
"24","510","270101","1008","245102701011008",Block 1008,G5040,U,"04843",U,S,"1041","0","+39.3362506","-076.5717220",0.117783528152048
"24","510","150300","3005","245101503003005",Block 3005,G5040,U,"04843",U,S,"5705","0","+39.3068958","-076.6582704",0.000000000000000
"24","510","270903","2016","245102709032016",Block 2016,G5040,U,"04843",U,S,"10605","0","+39.3407061","-076.5972262",0.862273455908760
"24","510","260202","3034","245102602023034",Block 3034,G5040,U,"04843",U,S,"1900","0","+39.3221573","-076.5557938",0.022198318012908
"24","510","160500","4006","245101605004006",Block 4006,G5040,U,"04843",U,S,"10382","0","+39.2959075","-076.6556427",0.086787657502864
"24","510","160400","3004","245101604003004",Block 3004,G5040,U,"04843",U,S,"7544","0","+39.2971064","-076.6487565",0.233213458791073
"24","510","270101","2047","245102701012047",Block 2047,G5040,U,"04843",U,S,"11906","0","+39.3311574","-076.5677562",0.491096371439719
"24","510","260101","1004","245102601011004",Block 1004,G5040,U,"04843",U,S,"32469","0","+39.3513558","-076.5313330",0.389149114549206
"24","510","090800","1021","245100908001021",Block 1021,G5040,U,"04843",U,S,"8811","0","+39.3164162","-076.5963068",0.049767554632568
"24","510","260604","2022","245102606042022",Block 2022,G5040,U,"04843",U,S,"4341","0","+39.2794939","-076.5359804",0.031874130364979
"24","510","080800","2017","245100808002017",Block 2017,G5040,U,"04843",U,S,"7625","0","+39.3025033","-076.5975739",0.240279757770711
"24","510","070300","1020","245100703001020",Block 1020,G5040,U,"04843",U,S,"3475","0","+39.2969295","-076.5839607",0.110074327576065
"24","510","070200","1006","245100702001006",Block 1006,G5040,U,"04843",U,S,"6217","0","+39.3014242","-076.5821263",0.007621723406163
"24","510","080200","1045","245100802001045",Block 1045,G5040,U,"04843",U,S,"6352","0","+39.3111576","-076.5782456",0.074059452267111
"24","510","271300","2001","245102713002001",Block 2001,G5040,U,"04843",U,S,"3732","0","+39.3610074","-076.6349763",0.126318670382166
"24","510","280102","1030","245102801021030",Block 1030,G5040,U,"04843",U,S,"1614","0","+39.3451057","-076.7071802",0.226333659434885
"24","510","250206","3010","245102502063010",Block 3010,G5040,U,"04843",U,S,"9763","0","+39.2654232","-076.6565618",0.294781019813853
"24","510","140100","3000","245101401003000",Block 3000,G5040,U,"04843",U,S,"23700","0","+39.3100535","-076.6308355",0.111821086261981
"24","510","271102","1023","245102711021023",Block 1023,G5040,U,"04843",U,S,"1684","0","+39.3434099","-076.6215730",0.411044298560159
"24","510","260402","1003","245102604021003",Block 1003,G5040,U,"04843",U,S,"4703","0","+39.3265307","-076.5341993",0.196395755527891
"24","510","250103","2031","245102501032031",Block 2031,G5040,U,"04843",U,S,"4169","0","+39.2647585","-076.6759848",0.322368567671770
"24","510","130400","1014","245101304001014",Block 1014,G5040,U,"04843",U,S,"58771","0","+39.3228564","-076.6546324",0.396050528698638
"24","510","250402","4009","245102504024009",Block 4009,G5040,U,"04843",U,S,"7771","0","+39.2337815","-076.6028048",0.421307477104804
"24","510","250402","4001","245102504024001",Block 4001,G5040,U,"04843",U,S,"7841","0","+39.2353168","-076.6004815",0.089100581760447
"24","510","220100","1032","245102201001032",Block 1032,G5040,U,"04843",U,S,"7742","0","+39.2811503","-076.6216216",0.014843881248950
"24","510","271200","2023","245102712002023",Block 2023,G5040,U,"04843",U,S,"12649","0","+39.3598405","-076.6104757",0.115809795055494
"24","510","120500","2002","245101205002002",Block 2002,G5040,U,"04843",U,S,"6982","0","+39.3109790","-076.6116986",0.083082736780477
"24","510","270200","3007","245102702003007",Block 3007,G5040,U,"04843",U,S,"4424","0","+39.3422124","-076.5722806",0.159845446336700
"24","510","270101","2022","245102701012022",Block 2022,G5040,U,"04843",U,S,"4268","0","+39.3300348","-076.5637747",0.018153718900329
"24","510","271501","2015","245102715012015",Block 2015,G5040,U,"04843",U,S,"5637","0","+39.3601516","-076.6546219",0.430191353649894
"24","510","220100","1038","245102201001038",Block 1038,G5040,U,"04843",U,S,"6886","0","+39.2811609","-076.6200666",0.003373454957629
"24","510","250600","1098","245102506001098",Block 1098,G5040,U,"04843",U,S,"14749","0","+39.2316715","-076.5678743",0.007332468219672
"24","510","271400","1007","245102714001007",Block 1007,G5040,U,"04843",U,S,"13626","0","+39.3471232","-076.6331295",0.593708033675313
"24","510","160100","2004","245101601002004",Block 2004,G5040,U,"04843",U,S,"7630","0","+39.2999309","-076.6366388",0.290819867759337
