STATEFP10,COUNTYFP10,TRACTCE10,BLOCKCE10,GEOID10,NAME10,MTFCC10,UR10,UACE10,UATYPE,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,15_mean
"24","510","250500","2060","245102505002060",Block 2060,G5040,R,,,S,"0","26532","+39.2083758","-076.5813304",0.000000000000000
"24","510","220100","3015","245102201003015",Block 3015,G5040,U,"04843",U,S,"0","6477","+39.2858679","-076.6064671",0.000000000000000
"24","510","250600","1003","245102506001003",Block 1003,G5040,U,"04843",U,S,"1446672","23378","+39.2453900","-076.5906237",0.069244997277925
"24","510","250301","1002","245102503011002",Block 1002,G5040,U,"04843",U,S,"0","371","+39.2686472","-076.6293326",0.000000000000000
"24","510","130600","1026","245101306001026",Block 1026,G5040,U,"04843",U,S,"0","3815","+39.3202699","-076.6292673",0.281662365486683
"24","510","200600","1000","245102006001000",Block 1000,G5040,U,"04843",U,S,"230","242","+39.2942162","-076.6698240",0.000000000000000
"24","510","250500","1097","245102505001097",Block 1097,G5040,U,"04843",U,S,"0","6577","+39.2046864","-076.5516636",0.048052883596763
"24","510","260605","6203","245102606056203",Block 6203,G5040,R,,,S,"0","7176","+39.2574323","-076.5687344",0.000000000000000
"24","510","260605","6178","245102606056178",Block 6178,G5040,U,"04843",U,S,"231215","7919","+39.2538013","-076.5406741",0.000428541900752
"24","510","250600","1103","245102506001103",Block 1103,G5040,R,,,S,"0","66525","+39.2454350","-076.6084468",0.002280595664215
"24","510","030200","2042","245100302002042",Block 2042,G5040,U,"04843",U,S,"0","40113","+39.2807846","-076.6021583",0.000000000000000
"24","510","260202","3030","245102602023030",Block 3030,G5040,U,"04843",U,S,"0","1618","+39.3211435","-076.5602194",0.490837019589820
"24","510","020300","3010","245100203003010",Block 3010,G5040,U,"04843",U,S,"0","189939","+39.2795910","-076.5897592",0.000323334582321
"24","510","250303","3008","245102503033008",Block 3008,G5040,U,"04843",U,S,"9","568","+39.2709953","-076.6476120",0.000000000000000
"24","510","230300","1023","245102303001023",Block 1023,G5040,U,"04843",U,S,"0","256","+39.2675441","-076.6257455",0.000000000000000
"24","510","120700","3012","245101207003012",Block 3012,G5040,U,"04843",U,S,"0","977","+39.3190976","-076.6282990",0.286040319513123
"24","510","230300","1014","245102303001014",Block 1014,G5040,U,"04843",U,S,"0","1305","+39.2676801","-076.6256381",0.000000000000000
"24","510","230300","1025","245102303001025",Block 1025,G5040,U,"04843",U,S,"0","9159","+39.2673472","-076.6231963",0.000000000000000
"24","510","210100","1065","245102101001065",Block 1065,G5040,U,"04843",U,S,"0","3380","+39.2716007","-076.6263006",0.057814904374588
"24","510","200600","1014","245102006001014",Block 1014,G5040,U,"04843",U,S,"0","1584","+39.2851590","-076.6598531",0.253958944281525
"24","510","200600","1021","245102006001021",Block 1021,G5040,U,"04843",U,S,"0","2566","+39.2835017","-076.6608058",0.483447302724411
"24","510","250500","2064","245102505002064",Block 2064,G5040,R,,,S,"0","4030","+39.2080110","-076.5812660",0.000000000000000
"24","510","271501","1033","245102715011033",Block 1033,G5040,U,"04843",U,S,"0","1456","+39.3675021","-076.6485772",0.088069996168093
"24","510","230300","1038","245102303001038",Block 1038,G5040,U,"04843",U,S,"0","48685","+39.2638951","-076.6225234",0.000694643231999
"24","510","230300","1012","245102303001012",Block 1012,G5040,U,"04843",U,S,"0","10199","+39.2684202","-076.6222260",0.001348150847149
"24","510","260605","6248","245102606056248",Block 6248,G5040,U,"04843",U,S,"0","13772","+39.2612701","-076.5730399",0.000000000000000
