zcta,white_%,black_%,otherrace_or_multirace_%,poverty_%,single_family_detached_houses_%,65+_%,0-17_%,disabled_%,renter_%,vacancy_%,home_median_price_d,median_household_income_d,median_age_a
21201,36.294064477252185,51.28653208797831,12.419403434769507,30.799122532121594,1.7527238275698722,9.99698704429045,14.275384151852968,16.101235311840917,88.41117415975557,13.178588346755093,189600,33877,30.1
21202,31.20525059665871,59.75766476959794,9.037084633743348,29.288528112689505,2.8362044351384794,8.24765926197907,11.460436937763907,10.81788140260694,78.77748876803027,19.501284857713905,230200,44656,32.5
21205,22.998780983340104,68.82026276581335,8.180956250846535,37.13189973976168,3.0760547481303795,10.618989570635243,29.506975484220504,20.62169849654612,66.4236305851561,24.523775927755047,52500,28675,31
21206,22.886891414978454,71.35336440033538,5.75974418468617,14.026050917702781,36.376513593785695,10.548482071480102,23.641468598280266,11.23676565211457,40.87530966143683,11.46447338359607,150600,50975,37.2
21207,10.107165806438239,84.6423315299629,5.250502663598851,13.014027972320363,49.861004601226995,18.70323155690981,19.665029123396142,16.576498144808575,37.840785169029445,12.09739263803681,180300,59013,41.8
21208,53.202706742397474,42.3404081854499,4.456885072152623,9.496107925427296,43.87742416708105,24.89333369568171,21.096828545805366,13.821778949370872,35.48837209302326,6.452013923421183,251400,72612,45.3
21209,73.12650207559537,16.08404340543296,10.78945451897167,7.645471780662097,31.701497449399373,17.810064816837812,24.076906270482848,9.40572427354162,39.35673525851634,4.837913444133619,296700,78900,37.2
21210,72.60453532573077,8.854371477257832,18.541093197011403,8.354997758852532,33.47532836350728,15.624590378817668,13.291388124262681,4.561541486433347,40.27541973212602,5.9105431309904155,436900,93203,30.9
21211,78.93648089559504,12.125821367729374,8.937697736675586,10.838420331381588,8.005601587116349,14.322219518130932,13.17230469700657,13.76247262107569,46.268852459016394,11.016454662154276,211100,63733,36.2
21212,51.237871214348715,40.97030285210232,7.791825933548964,13.3015494636472,33.53289195661361,14.013525433695973,24.960305792413994,10.235224933842987,31.400661729951157,10.593041273418793,276500,73244,38.5
21213,7.777392619670374,89.57867204487442,2.643935335455197,28.151712784144873,5.276662938351207,10.979106923392052,27.28074874736079,15.066334730406833,48.374235846549126,25.7385354299625,96200,34917,35.6
21214,39.55266955266955,55.73833573833574,4.708994708994709,12.06930114853027,65.08383031394172,13.395863395863397,20.553150553150555,13.915343915343914,24.927021195583198,11.342410262180714,179400,65792,41
21215,17.04262339236415,80.74203757322739,2.2153390344084585,25.59840653868608,19.997776377719305,17.975220523870448,22.44293313581577,18.109891589791932,50.799981870099266,18.23370270170107,122200,36500,41.8
21216,2.2672037820021975,95.24586343509671,2.4869327829010928,26.17729478504545,13.937212557488502,13.589905782867797,21.666611179545228,16.632819522588807,50.95475496190387,29.140838498966875,88900,37314,36.4
21217,10.576265623717966,85.23917621639362,4.184558159888411,36.66991507726577,2.240429569967134,13.54101140497224,23.890271586029595,19.41853786614884,68.79477454698694,34.092487154561866,130500,28116,35.1
21218,29.59541124654307,61.175868073338115,9.228720680118819,24.547429398986242,9.214068222938089,14.196456007374783,15.652975519819728,14.03052340469118,50.42619766940008,18.203080181810158,153700,43352,34.6
21222,77.9481842580928,11.745266655711964,10.306549086195242,14.372016158648549,34.738929849523565,16.377279947417428,22.94644976356101,18.60838765039893,35.1780185758514,10.869658948820765,143700,50644,39.7
21223,18.982823064969974,73.11746671706354,7.899710217966486,38.48148620499086,2.7685412751192717,11.13350972239721,27.344504640712273,25.983789005081686,66.78609817269796,39.47520601416799,68900,26899,34.6
21224,69.89226210334203,16.445238141962832,13.662499754695133,17.651847586521853,8.90924229808493,9.955452636536688,20.478050120689993,12.520360303785544,41.94722008711248,14.479162101757307,195800,65501,33
21225,45.74103815035908,40.63816247992485,13.620799369716067,24.852323244625786,31.526090315331135,10.760279991515409,26.468894881973277,17.654010484530772,51.18877593883895,16.405646463937074,165700,41904,34.9
21226,70.34749034749035,24.504504504504503,5.148005148005147,15.406525116519937,41.677135678391956,10.012870012870014,25.868725868725868,15.72715572715573,30.32849503437739,17.77638190954774,240900,73438,32.6
21227,72.49896834286388,14.602369863821258,12.898661793314867,16.485253332538097,44.431878157279655,12.379885633437482,23.993397394328834,11.914166126274834,38.86220602848625,8.949709718766494,207400,64692,34.4
21228,67.47061038363385,20.066518847006652,12.462870769359494,6.3746477055140804,54.607192467973455,18.71522403045643,18.957871396895786,11.404426222649878,27.487603305785125,6.621392190152801,301100,85837,43.4
21229,16.89994815966822,76.182477967859,6.917573872472786,18.574373212182397,14.86930508557697,12.837739761534475,24.38154484188699,15.116640746500778,45.72291177457229,12.284831543327938,125700,47422,35
21230,64.44874051418184,27.84718815823643,7.704071327581733,14.706222530650011,8.928676254769591,8.63317655884814,16.625789883717577,11.054043916091986,47.356679286100594,13.167009098914,247300,73762,32.1
21231,59.71068204913623,30.438161276824676,9.851156674039093,19.805194805194805,2.05219718938211,8.26110347301094,15.009863111961263,12.284057624484428,61.23595505617978,16.618335935757305,287100,69979,32.3
21234,63.12653448003561,28.484256773248717,8.389208746715674,8.811878325237103,41.97784294558488,17.85668135938779,20.288877083662364,12.112162414392166,38.61735222951953,5.734767025089606,216700,61748,40.1
21236,69.23194264358172,16.59420842549513,14.173848930923153,8.540261598201512,38.05256510494978,13.342485953270792,22.101034754531817,10.693310960262375,32.456823789118296,7.36753473266374,239200,77532,36.8
21237,57.88266578028918,29.572876848928036,12.544457370782784,7.8988782856186175,46.99011680143755,15.07728103706166,21.05035732092405,11.374439089247133,36.192745565263436,7.449154618965939,217500,64758,38.9
